filename	dccAccession	size	cell	dateUnrestricted	dataType	view	filename	spikeInPool	composite	localfile	replicate	geoSampleAccession	labVersion	labExpId	md5sum	dateSubmitted	lab	dataVersion	url	readType	organism	seqPlatform	bioRep	localization	project	tableName	type	subId	grant	rnaExtract
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqGm12878CellPapTranscriptGencV7.gtf.gz	wgEncodeEH000146	5.0M	GM12878	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqGm12878CellPapTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqGm12878CellPapTranscriptGencV7.gtf.gz	1,2	GSM758559	iIDR	LID16629,LID16630	9493af1fc32e35bc312acbcdf0f21570	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqGm12878CellPapTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	003WC,004WC	cell	wgEncode	wgEncodeCshlLongRnaSeqGm12878CellPapTranscriptGencV7	gtf	4571	Gingeras	longPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqHelas3CellPapTranscriptGencV7.gtf.gz	wgEncodeEH000173	4.9M	HeLa-S3	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqHelas3CellPapTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqHelas3CellPapTranscriptGencV7.gtf.gz	1,2	GSM765402	iIDR	LID16633,LID16634	bfc652a537cfb67a2720bab6006476c0	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqHelas3CellPapTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	011WC,012WC	cell	wgEncode	wgEncodeCshlLongRnaSeqHelas3CellPapTranscriptGencV7	gtf	4583	Gingeras	longPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqNhlfCellPapTranscriptGencV7.gtf.gz	wgEncodeEH000168	5.0M	NHLF	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqNhlfCellPapTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqNhlfCellPapTranscriptGencV7.gtf.gz	1,2	GSM765394	iIDR	LID8692,LID8701	c375b99857b4b7f36b09b29104008110	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqNhlfCellPapTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	033WC,034WC	cell	wgEncode	wgEncodeCshlLongRnaSeqNhlfCellPapTranscriptGencV7	gtf	4543	Gingeras	longPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqHelas3CellPamTranscriptGencV7.gtf.gz	wgEncodeEH000191	4.9M	HeLa-S3	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqHelas3CellPamTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqHelas3CellPamTranscriptGencV7.gtf.gz	1,2	GSM767847	iIDR	LID8790,LID8791	428e7f8ff2edbba7c3de47e8da2e8b77	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqHelas3CellPamTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	011WC,012WC	cell	wgEncode	wgEncodeCshlLongRnaSeqHelas3CellPamTranscriptGencV7	gtf	4599	Gingeras	longNonPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqGm12878CellPamTranscriptGencV7.gtf.gz	wgEncodeEH000148	4.8M	GM12878	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqGm12878CellPamTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqGm12878CellPamTranscriptGencV7.gtf.gz	1,2	GSM758572	iIDR	LID8661,LID8662	8455a925659e0f248a9b76fac0ef6403	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqGm12878CellPamTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	003WC,004WC	cell	wgEncode	wgEncodeCshlLongRnaSeqGm12878CellPamTranscriptGencV7	gtf	4586	Gingeras	longNonPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqH1hescCellPapTranscriptGencV7.gtf.gz	wgEncodeEH000150	5.1M	H1-hESC	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqH1hescCellPapTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqH1hescCellPapTranscriptGencV7.gtf.gz	1,2	GSM758566	iIDR	LID8461,LID8462	cdc28cc78fac341a5df61f605c71e98b	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqH1hescCellPapTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	005WC,006WC	cell	wgEncode	wgEncodeCshlLongRnaSeqH1hescCellPapTranscriptGencV7	gtf	4592	Gingeras	longPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqNhlfCellPamTranscriptGencV7.gtf.gz	wgEncodeEH000178	4.4M	NHLF	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqNhlfCellPamTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqNhlfCellPamTranscriptGencV7.gtf.gz	1,2	GSM765389	iIDR	LID8828,LID8829	cf1a91b73707d8a7874e541baaee2863	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqNhlfCellPamTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	033WC,034WC	cell	wgEncode	wgEncodeCshlLongRnaSeqNhlfCellPamTranscriptGencV7	gtf	4573	Gingeras	longNonPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqA549CellPapTranscriptGencV7.gtf.gz	wgEncodeEH000143	5.1M	A549	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqA549CellPapTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqA549CellPapTranscriptGencV7.gtf.gz	1,2	GSM758564	iIDR	LID8963,LID8964	23bf162e73146232ce26cf7ce21509c1	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqA549CellPapTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	021WC,022WC	cell	wgEncode	wgEncodeCshlLongRnaSeqA549CellPapTranscriptGencV7	gtf	4549	Gingeras	longPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqH1hescCellPamTranscriptGencV7.gtf.gz	wgEncodeEH000149	4.9M	H1-hESC	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqH1hescCellPamTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqH1hescCellPamTranscriptGencV7.gtf.gz	1,2	GSM758573	iIDR	LID8663,LID8664	ec694f5f753af8b0f8b0236a28f43909	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqH1hescCellPamTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	005WC,006WC	cell	wgEncode	wgEncodeCshlLongRnaSeqH1hescCellPamTranscriptGencV7	gtf	4593	Gingeras	longNonPolyA
http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqSknshraCellPapTranscriptGencV7.gtf.gz	wgEncodeEH000169	5.1M	SK-N-SH_RA	2012-04-13	RnaSeq	TranscriptGencV7	http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqSknshraCellPapTranscriptGencV7.gtf.gz	Nist14	wgEncodeCshlLongRnaSeq	/home/wespisea/scratch/encodeRnaSeq/cshl/wgEncodeCshlLongRnaSeqSknshraCellPapTranscriptGencV7.gtf.gz	1,2	GSM765395	iIDR	LID8967,LID8968	d7d81dfe138e77b9b0b87b7575688391	2011-07-13	CSHL	ENCODE Mar 2012 Freeze	/http://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/releaseLatest/wgEncodeCshlLongRnaSeqSknshraCellPapTranscriptGencV7.gtf.gz	2x76D	human;	Illumina_GA2x	019WC,020WC	cell	wgEncode	wgEncodeCshlLongRnaSeqSknshraCellPapTranscriptGencV7	gtf	4560	Gingeras	longPolyA
