filename	dccAccession	size	cell	dateUnrestricted	dataType	view	filename	composite	origAssembly	localfile	replicate	geoSampleAccession	labExpId	md5sum	dateSubmitted	lab	dataVersion	url	readType	submittedDataVersion	mapAlgorithm	localization	project	type	subId	grant	rnaExtract	insertLength
wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeEH000127	14M	HepG2	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2	GSM958732	10879	8186a27e795b042287e1148e3b1aee06	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3591	Myers	longPolyA	200
wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	wgEncodeEH000127	13M	HepG2	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	1	GSM958732	10878	618e4c8344400e48386c93f21de3eeef	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqHepg2R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3590	Myers	longPolyA	200
wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeEH000130	14M	HeLa-S3	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2	GSM958735	10882	7ce45175462e557d550f55be34db910c	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3589	Myers	longPolyA	200
wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	wgEncodeEH000130	13M	HeLa-S3	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	1	GSM958735	10881	ad57de084f12e95972bf5dd016c5b791	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqHelas3R2x75Il200TranscriptGencV3cRep1V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3588	Myers	longPolyA	200
wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep4V3.gtf.gz	wgEncodeEH000128	14M	H1-hESC	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep4V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep4V3.gtf.gz	4	GSM958733	10874	d40d77d4bdd953a22de9bf48d247eeeb	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep4V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3581	Myers	longPolyA	200
wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep3V3.gtf.gz	wgEncodeEH000128	14M	H1-hESC	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep3V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep3V3.gtf.gz	3	GSM958733	11289	87cf50a54d7fb960f117db2950fb5f04	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep3V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3580	Myers	longPolyA	200
wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeEH000128	14M	H1-hESC	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2	GSM958733	11288	eba7c1ff6afbed007dc609a12dc52b04	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3579	Myers	longPolyA	200
wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep1V3.gtf.gz	wgEncodeEH000128	14M	H1-hESC	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep1V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep1V3.gtf.gz	1	GSM958733	11286	ef635317d76049af656dfb5b868c5b50	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqH1hescR2x75Il200TranscriptGencV3cRep1V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3578	Myers	longPolyA	200
wgEncodeCaltechRnaSeqH1hescR2x75Il400TranscriptGencV3cRep1V3.gtf.gz	wgEncodeEH000138	13M	H1-hESC	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqH1hescR2x75Il400TranscriptGencV3cRep1V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqH1hescR2x75Il400TranscriptGencV3cRep1V3.gtf.gz	1	GSM958743	10876	1b41b37d6b84478e362458cdfe98637b	2011-02-19	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqH1hescR2x75Il400TranscriptGencV3cRep1V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3571	Myers	longPolyA	400
wgEncodeCaltechRnaSeqGm12878R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeEH000122	14M	GM12878	2011-11-18	RnaSeq	TranscriptGencV3c	wgEncodeCaltechRnaSeqGm12878R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	wgEncodeCaltechRnaSeq	hg18	/home/wespisea/scratch/encodeRnaSeq/caltech/wgEncodeCaltechRnaSeqGm12878R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2	GSM958728	10515	458495d56ea98459e89901e42db8c7d3	2011-02-18	Caltech	ENCODE Mar 2012 Freeze	/wgEncodeCaltechRnaSeqGm12878R2x75Il200TranscriptGencV3cRep2V3.gtf.gz	2x75	V3 - New Elements Formats	TH1014	cell	wgEncode	gtf	3575	Myers	longPolyA	200
