filename	dccAccession	size	cell	antibody	dataType	view	filename	localfile	geoSampleAccession	md5sum	dateSubmitted	lab	dataVersion	url	softwareVersion	exprdir	controlId	type	dateResubmitted	grant	setType	control	labExpId	treatment	protocol	lncRegion	crossFile	crossFileLoc
peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	wgEncodeEH000401	2.1M	HepG2	CTCF	ChipSeq	Peaks	peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	GSM749715,GSM749683	9795cd2914bf55da65be5eaa571e0a6d	2009-07-02	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000470	bigBed	2010-06-10	Stam	exp	std				body	wgEncodeEH000401_HepG2_CTCF_UW-X-lnc_body.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH000401_HepG2_CTCF_UW-X-lnc_body.bed
peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	wgEncodeEH000401	2.1M	HepG2	CTCF	ChipSeq	Peaks	peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	GSM749715,GSM749683	9795cd2914bf55da65be5eaa571e0a6d	2009-07-02	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000470	bigBed	2010-06-10	Stam	exp	std				promoter_distal	wgEncodeEH000401_HepG2_CTCF_UW-X-lnc_promoter_distal.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH000401_HepG2_CTCF_UW-X-lnc_promoter_distal.bed
peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	wgEncodeEH000401	2.1M	HepG2	CTCF	ChipSeq	Peaks	peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	GSM749715,GSM749683	9795cd2914bf55da65be5eaa571e0a6d	2009-07-02	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000470	bigBed	2010-06-10	Stam	exp	std				promoter_proximal	wgEncodeEH000401_HepG2_CTCF_UW-X-lnc_promoter_proximal.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH000401_HepG2_CTCF_UW-X-lnc_promoter_proximal.bed
peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	wgEncodeEH001505	658K	HeLa-S3	TAF1	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	GSM803455	e9b22c458f3e20416c64c6427ec58122	2009-12-18	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	PeakSeq	hub	SL592	bigBed	2010-06-07	Myers	exp		SL590	None	PCR1x	body	wgEncodeEH001505_HeLa-S3_TAF1_HudsonAlpha-X-lnc_body.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH001505_HeLa-S3_TAF1_HudsonAlpha-X-lnc_body.bed
peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	wgEncodeEH001505	658K	HeLa-S3	TAF1	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	GSM803455	e9b22c458f3e20416c64c6427ec58122	2009-12-18	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	PeakSeq	hub	SL592	bigBed	2010-06-07	Myers	exp		SL590	None	PCR1x	promoter_distal	wgEncodeEH001505_HeLa-S3_TAF1_HudsonAlpha-X-lnc_promoter_distal.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH001505_HeLa-S3_TAF1_HudsonAlpha-X-lnc_promoter_distal.bed
peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	wgEncodeEH001505	658K	HeLa-S3	TAF1	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	GSM803455	e9b22c458f3e20416c64c6427ec58122	2009-12-18	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	PeakSeq	hub	SL592	bigBed	2010-06-07	Myers	exp		SL590	None	PCR1x	promoter_proximal	wgEncodeEH001505_HeLa-S3_TAF1_HudsonAlpha-X-lnc_promoter_proximal.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH001505_HeLa-S3_TAF1_HudsonAlpha-X-lnc_promoter_proximal.bed
peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	wgEncodeEH001608	2.1M	HepG2	Rad21	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	GSM803517	c22c2e1391068ad8c59358b705d601b0	2010-12-06	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1781	bigBed		Myers	exp		SL3179	None	v041610.1	body	wgEncodeEH001608_HepG2_Rad21_HudsonAlpha-X-lnc_body.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH001608_HepG2_Rad21_HudsonAlpha-X-lnc_body.bed
peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	wgEncodeEH001608	2.1M	HepG2	Rad21	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	GSM803517	c22c2e1391068ad8c59358b705d601b0	2010-12-06	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1781	bigBed		Myers	exp		SL3179	None	v041610.1	promoter_distal	wgEncodeEH001608_HepG2_Rad21_HudsonAlpha-X-lnc_promoter_distal.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH001608_HepG2_Rad21_HudsonAlpha-X-lnc_promoter_distal.bed
peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	wgEncodeEH001608	2.1M	HepG2	Rad21	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	GSM803517	c22c2e1391068ad8c59358b705d601b0	2010-12-06	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1781	bigBed		Myers	exp		SL3179	None	v041610.1	promoter_proximal	wgEncodeEH001608_HepG2_Rad21_HudsonAlpha-X-lnc_promoter_proximal.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH001608_HepG2_Rad21_HudsonAlpha-X-lnc_promoter_proximal.bed
peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	wgEncodeEH001567	730K	H1-hESC	YY1_-C-20-	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	GSM803513	a61c95e6cc8f39a8ac463c0a57b66935	2010-09-15	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	PeakSeq	hub	SL1398	bigBed		Myers	exp		SL1657	None	v041610.2	body	wgEncodeEH001567_H1-hESC_YY1_-C-20-_HudsonAlpha-X-lnc_body.bed	/home/wespisea/scratch/encodePeakSeq-lncRegions/wgEncodeEH001567_H1-hESC_YY1_-C-20-_HudsonAlpha-X-lnc_body.bed
