filename	dccAccession	size	cell	antibody	dataType	view	filename	localfile	geoSampleAccession	md5sum	dateSubmitted	lab	dataVersion	url	softwareVersion	exprdir	controlId	type	dateResubmitted	grant	setType	control	labExpId	treatment	protocol
peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	wgEncodeEH000401	2.1M	HepG2	CTCF	ChipSeq	Peaks	peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	GSM749715,GSM749683	9795cd2914bf55da65be5eaa571e0a6d	2009-07-02	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000470	bigBed	2010-06-10	Stam	exp	std			
peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	wgEncodeEH001505	658K	HeLa-S3	TAF1	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	GSM803455	e9b22c458f3e20416c64c6427ec58122	2009-12-18	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	PeakSeq	hub	SL592	bigBed	2010-06-07	Myers	exp		SL590	None	PCR1x
peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	wgEncodeEH001608	2.1M	HepG2	Rad21	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	GSM803517	c22c2e1391068ad8c59358b705d601b0	2010-12-06	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1781	bigBed		Myers	exp		SL3179	None	v041610.1
peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	wgEncodeEH001567	730K	H1-hESC	YY1_-C-20-	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	GSM803513	a61c95e6cc8f39a8ac463c0a57b66935	2010-09-15	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	PeakSeq	hub	SL1398	bigBed		Myers	exp		SL1657	None	v041610.2
peakSeq.optimal.wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	wgEncodeEH001475	1.3M	GM12878	POU2F2	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	GSM803534	ce1f5fa1e7be4903a5ae0495bac71c90	2009-07-20	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	PeakSeq	hub	SL516	bigBed	2010-06-07	Myers	exp		SL614	None	PCR1x
peakSeq.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	wgEncodeEH001640	1.8M	GM12878	Rad21	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	GSM803416	38eee63c3b47630b7fb25cddd63e542d	2011-01-13	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1613	bigBed		Myers	exp		SL3933	None	v041610.1
peakSeq.optimal.wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	wgEncodeEH001658	754K	GM12878	BCL3	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	GSM803342	2aca3a4cfceb2c37b5f7b64fa18927f2	2009-12-10	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	PeakSeq	hub	SL516	bigBed	2010-06-07	Myers	exp		SL652	None	PCR1x
peakSeq.optimal.wgEncodeSydhTfbsH1hescUsf2IggrabAlnRep0_vs_wgEncodeSydhTfbsH1hescInputIggrabAlnRep1.bb	wgEncodeEH001837	514K	H1-hESC	USF2	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsH1hescUsf2IggrabAlnRep0_vs_wgEncodeSydhTfbsH1hescInputIggrabAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsH1hescUsf2IggrabAlnRep0_vs_wgEncodeSydhTfbsH1hescInputIggrabAlnRep1.bb	GSM935380	342ed7316f99a8b89833cff4f803763a	2011-01-18	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsH1hescUsf2IggrabAlnRep0_vs_wgEncodeSydhTfbsH1hescInputIggrabAlnRep1.bb	PeakSeq	hub	wgEncodeEH001834	bigBed		Snyder	exp	IgG-rab		None	
peakSeq.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12878InputStdAlnRep1.bb	wgEncodeEH000394	1.8M	GM12878	CTCF	ChipSeq	Peaks	peakSeq.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12878InputStdAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12878InputStdAlnRep1.bb	GSM749704,GSM749706	dc05cb98f3f5b888a0a91b6a9173928c	2009-09-29	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12878InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000463	bigBed	2010-06-07	Stam	exp	std			
peakSeq.optimal.wgEncodeSydhTfbsK562Rad21StdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	wgEncodeEH000649	850K	K562	Rad21	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsK562Rad21StdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsK562Rad21StdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	GSM935319	f8fc4f17b62fede7dfeed53198edc9ce	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsK562Rad21StdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	PeakSeq	hub	wgEncodeEH000615	bigBed		Snyder	exp	std		None	
