transcript_id HELAS3 GM12878 H1HESC HEPG2 K562
ENST00000473358.1 0.0001885 0.0009755 0.0072695 0.0018165 0.0049035
ENST00000469289.1 0.0021055 0.0022445 0.017254 0.001636 0.0147095
ENST00000466430.1 0.008822 0.0118105 0.0039965 0.0246325 0.108286
ENST00000495576.1 0.0603225 0.0124335 0.010595 0.060949 0.224486
ENST00000477740.1 0 0 0 0 0.003726
ENST00000471248.1 0.0091655 0.000529 0.000437 0.0084735 0.0467935
ENST00000453576.2 0.004665 0 0.001859 0.006583 0.0061115
ENST00000493797.1 0.09648 0.107855 0.508505 0.0341245 0.59485
ENST00000484859.1 0.045681 0.0521115 0.28262 0.0602585 0.30303
ENST00000490997.1 0.00328 0.0014225 0.0041665 0 0.005748
ENST00000496488.1 0 0 0 0.0002025 0.0107505
ENST00000466557.1 0.0780455 0.052828 0.301641 0.204024 0.483319
ENST00000491962.1 0.002675 0.005377 0 0.0043655 0.0048185
ENST00000442116.1 0.0058325 0.0198425 0.0074995 0.012156 0.075816
ENST00000448958.1 0 0.000622 0 0.001569 0.01603
ENST00000424587.1 0.0291675 0.022241 0.002548 0.0686695 0.302
ENST00000335577.4 0.014051 0.001613 0.000659 0.0143075 0.046516
ENST00000426316.1 0.000245 0.010702 0.010764 0.003763 0.026074
ENST00000432964.1 0 0 0.0335125 0 0.0110915
ENST00000423728.1 0.0145785 0.027353 0.14022 0.0202085 0.146249
ENST00000440038.1 0.0250415 0.0240635 0.242722 0.0292865 0.202166
ENST00000419160.1 0.003993 0.0114 0.011531 0.003647 0.0299125
ENST00000534867.1 0.036595 0.0266045 0.334455 0.0469135 0.233898
ENST00000456623.1 0.027828 0.022747 0.124346 0.0338725 0.078283
ENST00000425496.2 0.0332605 0.0109155 0.396017 0.109559 0.218033
ENST00000450983.1 0 0 0 0 0.0010635
ENST00000412666.1 0 0 0 0 0
ENST00000441866.1 0.002056 0.000398 0.0001525 0.003405 0.066996
ENST00000417636.1 0.0019935 0.000426 0.0002445 0.0036065 0.0795405
ENST00000423796.1 0 0 0 0 0
ENST00000450696.1 0 0 0 0 0
ENST00000440196.1 0 0 0 0 0
ENST00000357876.4 0 0.000178 0 0 0
ENST00000440200.1 0.0016975 0.0008385 0 0.001471 0.004193
ENST00000452176.1 0 0.000192 0 0 0.001568
ENST00000441245.1 0.005649 0.001582 0.000453 0.0112825 0.0066565
ENST00000419394.1 0 0 0 0 0
ENST00000448605.1 0 0.0007325 0 0.0147865 0.00196
ENST00000414688.1 0.001215 0.0045875 0 0.0051345 0.0269115
ENST00000447954.1 0.0071485 0 0.0051885 0.0148135 0.007645
ENST00000416385.1 0.0577905 0.065643 0.331806 0.07116 0.306072
ENST00000417659.1 0.0174335 0.0313565 0.0285895 0.058938 0.115549
ENST00000422528.1 0 0.0011175 0 0.0006095 0.0024465
ENST00000428504.1 0.101473 0.0791685 0.243695 0.175881 0.329735
ENST00000457084.1 0.035193 0.024044 0.021411 0.04155 0.035698
ENST00000429505.1 0.0026395 0.0030325 0 0.0002215 0
ENST00000434264.1 0.0058405 0.019595 0.002325 0.0045335 0.015204
ENST00000447500.1 0.0011475 0.009127 0 0.001032 0.0051875
ENST00000443772.1 0.0017005 0.002638 0.000914 0.0017845 0
ENST00000412115.1 0.0015265 0.007109 0.0002325 0.00129 0.001233
ENST00000435300.1 0.019436 0.0133035 0.005277 0.0098495 0.005099
ENST00000326734.1 0 0 0 0.0023365 0
ENST00000473798.1 0.007699 0.0160325 0.014157 0.0143395 0.0430105
ENST00000536430.1 0.014708 0.0013645 0.0140375 0.00716 0.0029975
ENST00000445118.1 0.120469 0.113293 0.256902 0.146029 0.251467
ENST00000441765.1 0.0301765 0.007279 0.066785 0.0720555 0.011757
ENST00000449005.1 0.0740995 0.039202 0.0938115 0.0981005 0.0724605
ENST00000416570.1 0.0020415 0 0.0015505 0 0
ENST00000415295.1 0.0207045 0.0124805 0.0098125 0.0255965 0.0136565
ENST00000448975.1 0.019178 0.0044525 0.0031725 0.0086665 0.0096275
ENST00000425657.1 0.0104495 0.008542 0.0083435 0.0193665 0.009328
ENST00000446136.1 0.000263 0.0029535 0.000473 0.0026215 0.0026235
ENST00000432963.1 0 0.0002315 0 0.0002325 0.0002515
ENST00000427857.1 0.0017895 0.0075905 0 0.0035365 0.0071325
ENST00000448179.1 0.0091035 0.000337 0.0104425 0.0020845 0.0027365
ENST00000398216.2 0.000502 0 0 0 0
ENST00000458555.1 0.005364 0.0163465 0.0065395 0.0082595 0.000562
ENST00000416774.1 0.002039 0.0001095 0.0028035 0.0038535 0
ENST00000379317.1 0 0.000146 0.0011125 9.45e-05 0.0002305
ENST00000444968.1 0.0160215 0.01218 0.0178285 0.032572 0.046235
ENST00000448629.2 0.100954 0.005152 0.048677 0.038975 0.0397765
ENST00000447725.1 0.070378 0.0352355 0.0673715 0.0937225 0.052877
ENST00000444362.1 0.121142 0.066911 0.157472 0.098956 0.250441
ENST00000418833.1 0.083365 0.037663 0.109945 0.133123 0.055036
