index "transcript_id" "HELAS3" "GM12878" "H1HESC" "HEPG2" "K562" "entropy" "min" "max" "average" "maxExpr" "HELAS3.Expr" "GM12878.Expr" "H1HESC.Expr" "HEPG2.Expr" "K562.Expr" "threeTimesSpecifity" "tissSpec" "expressed"
"1" "ENST00000473358.1" 0.0001885 0.0009755 0.0072695 0.0018165 0.0049035 1.73544578616285 0.0001885 0.0072695 0.0030307 "H1HESC" "low" "mid" "mid" "mid" "mid" "None" 0.427682172167424 "yes"
"2" "ENST00000469289.1" 0.0021055 0.0022445 0.017254 0.001636 0.0147095 1.71528773509525 0.001636 0.017254 0.0075899 "H1HESC" "mid" "mid" "high" "mid" "high" "None" 0.409879354949705 "yes"
"3" "ENST00000466430.1" 0.008822 0.0118105 0.0039965 0.0246325 0.108286 1.43789224730967 0.0039965 0.108286 0.0315095 "K562" "high" "high" "mid" "high" "high" "K562" 0.57886103220979 "yes"
"4" "ENST00000495576.1" 0.0603225 0.0124335 0.010595 0.060949 0.224486 1.60442189463095 0.010595 0.224486 0.0737572 "K562" "high" "high" "high" "high" "high" "K562" 0.52008927820284 "yes"
"5" "ENST00000477740.1" 0 0 0 0 0.003726 0 0 0.003726 0.0007452 "K562" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "mid" "K562" 1 "yes"
"6" "ENST00000471248.1" 0.0091655 0.000529 0.000437 0.0084735 0.0467935 1.22936519544858 0.000437 0.0467935 0.0130797 "K562" "high" "low" "low" "high" "high" "K562" 0.600828779790262 "yes"
"7" "ENST00000453576.2" 0.004665 0 0.001859 0.006583 0.0061115 1.87683761200216 0 0.006583 0.0038437 "HEPG2" "mid" "notExpressed" "mid" "mid" "mid" "None" 0.329168695522148 "yes"
"8" "ENST00000493797.1" 0.09648 0.107855 0.508505 0.0341245 0.59485 1.75090448046856 0.0341245 0.59485 0.2683629 "K562" "high" "high" "high" "high" "high" "None" 0.401814478493228 "yes"
"9" "ENST00000484859.1" 0.045681 0.0521115 0.28262 0.0602585 0.30303 1.86793630697905 0.045681 0.30303 0.1487402 "K562" "high" "high" "high" "high" "high" "None" 0.376214928775037 "yes"
"10" "ENST00000490997.1" 0.00328 0.0014225 0.0041665 0 0.005748 1.85651852814368 0 0.005748 0.0029234 "K562" "mid" "mid" "mid" "notExpressed" "mid" "None" 0.36600202913169 "yes"
"11" "ENST00000496488.1" 0 0 0 0.0002025 0.0107505 0.132865293672227 0 0.0107505 0.0021906 "K562" "notExpressed" "notExpressed" "notExpressed" "low" "high" "K562" 0.903531043433159 "yes"
"12" "ENST00000466557.1" 0.0780455 0.052828 0.301641 0.204024 0.483319 1.95613931858914 0.052828 0.483319 0.2239715 "K562" "high" "high" "high" "high" "high" "None" 0.393460219676704 "yes"
"13" "ENST00000491962.1" 0.002675 0.005377 0 0.0043655 0.0048185 1.95725766697944 0 0.005377 0.0034472 "GM12878" "mid" "mid" "notExpressed" "mid" "mid" "None" 0.306531352660402 "yes"
"14" "ENST00000442116.1" 0.0058325 0.0198425 0.0074995 0.012156 0.075816 1.64267977931752 0.0058325 0.075816 0.0242293 "K562" "mid" "high" "mid" "high" "high" "K562" 0.532635309393486 "yes"
"15" "ENST00000448958.1" 0 0.000622 0 0.001569 0.01603 0.633562265333677 0 0.01603 0.0036442 "K562" "notExpressed" "low" "notExpressed" "mid" "high" "K562" 0.749203004547147 "yes"
"16" "ENST00000424587.1" 0.0291675 0.022241 0.002548 0.0686695 0.302 1.30728302773183 0.002548 0.302 0.0849252 "K562" "high" "high" "mid" "high" "high" "K562" 0.597439378604667 "yes"
"17" "ENST00000335577.4" 0.014051 0.001613 0.000659 0.0143075 0.046516 1.5137495554221 0.000659 0.046516 0.0154293 "K562" "high" "mid" "low" "high" "high" "K562" 0.515888292474688 "yes"
"18" "ENST00000426316.1" 0.000245 0.010702 0.010764 0.003763 0.026074 1.75242963520198 0.000245 0.026074 0.0103096 "K562" "low" "high" "high" "mid" "high" "None" 0.44621102222035 "yes"
"19" "ENST00000432964.1" 0 0 0.0335125 0 0.0110915 0.809156992142718 0 0.0335125 0.0089208 "H1HESC" "notExpressed" "notExpressed" "high" "notExpressed" "high" "H1HESC" 0.629715572038256 "yes"
"20" "ENST00000423728.1" 0.0145785 0.027353 0.14022 0.0202085 0.146249 1.7720235480978 0.0145785 0.146249 0.0697218 "K562" "high" "high" "high" "high" "high" "None" 0.384845687457899 "yes"
"21" "ENST00000440038.1" 0.0250415 0.0240635 0.242722 0.0292865 0.202166 1.6910878494926 0.0240635 0.242722 0.1046559 "H1HESC" "high" "high" "high" "high" "high" "None" 0.416409657933898 "yes"
"22" "ENST00000419160.1" 0.003993 0.0114 0.011531 0.003647 0.0299125 1.91514554135086 0.003647 0.0299125 0.0120967 "K562" "mid" "high" "high" "mid" "high" "None" 0.438211408314934 "yes"
"23" "ENST00000534867.1" 0.036595 0.0266045 0.334455 0.0469135 0.233898 1.70965485384062 0.0266045 0.334455 0.1356932 "H1HESC" "high" "high" "high" "high" "high" "None" 0.437076327469813 "yes"
"24" "ENST00000456623.1" 0.027828 0.022747 0.124346 0.0338725 0.078283 2.01402797005998 0.022747 0.124346 0.0574153 "H1HESC" "high" "high" "high" "high" "high" "None" 0.394569617173897 "yes"
