filename	dccAccession	size	cell	antibody	dataType	view	geoSampleAccession	md5sum	dateSubmitted	lab	dataVersion	url	softwareVersion	exprdir	controlId	type	grant	setType	control	dateUnrestricted	spikeInPool	composite	replicate	labExpId	readType	seqPlatform	bioRep	localization	project	tableName	rnaExtract	treatment	protocol	dateResubmitted	origAssembly	labProtocolId	labVersion	strand	objStatus	subId	geoSampleAccesion	#N/A
peakSeq.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_vs_wgEncodeUwTfbsHbmecInputStdAlnRep1.bb	wgEncodeEH000981	994K	HBMEC	CTCF	ChipSeq	Peaks	GSM749743,GSM749710	03631e2cfb829061e023d29554366be7	2010-10-23	UW	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_vs_wgEncodeUwTfbsHbmecInputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000940	bigBed	Stam	exp	std																							
wgEncodeCshlLongRnaSeqHmecCellPapMinusRawSigRep1.bigWig	wgEncodeEH000153	374M	HMEC		RnaSeq	MinusSignal	GSM758571	68b04effdef1dcbf02471aaa3311e62a	2010-09-29	CSHL	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/rna_signal/jan2011/hub/wgEncodeCshlLongRnaSeqHmecCellPapMinusRawSigRep1.bigWig		hub		bigWig	Gingeras			2011-06-29	Nist14	wgEncodeCshlLongRnaSeq	1	LID8695	2x76D	Illumina_GA2x	036WC	cell	wgEncode	wgEncodeCshlLongRnaSeqHmecCellPapMinusRawSigRep1	longPolyA											
peakSeq.optimal.wgEncodeSydhTfbsNb4CmycStdAlnRep0_vs_wgEncodeSydhTfbsNb4InputStdAlnRep1.bb	wgEncodeEH001807	1.2M	NB4	c-Myc	ChipSeq	Peaks	GSM935643	6fa66cc18c8df75fe1051eb9dd5ada45	2010-08-26	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsNb4CmycStdAlnRep0_vs_wgEncodeSydhTfbsNb4InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000617	bigBed	Snyder	exp	std													None										
wgEncodeCshlShortRnaSeqK562CellShorttotalTapMinusRawRep1.bigWig	wgEncodeEH000213	4.2M	K562		RnaSeq	MinusSignal	GSM605630	18de869c0d45d10cf2be39b5736874d1	2011-01-18	CSHL	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/rna_signal/jan2011/hub/wgEncodeCshlShortRnaSeqK562CellShorttotalTapMinusRawRep1.bigWig		hub		bigWig	Gingeras			2011-10-18		wgEncodeCshlShortRnaSeq	1	LID10567	1x36	Illumina_GA2x	001WC	cell	wgEncode	wgEncodeCshlShortRnaSeqK562CellShorttotalTapMinusRawRep1	shortTotal		TAP-Only									
wgEncodeCshlShortRnaSeqHelas3NucleusShorttotalTapMinusRawRep2.bigWig	wgEncodeEH001088	3.2M	HeLa-S3		RnaSeq	MinusSignal	GSM897080	10473c0215e9a1481597846efb597ce4	2011-01-19	CSHL	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/rna_signal/jan2011/hub/wgEncodeCshlShortRnaSeqHelas3NucleusShorttotalTapMinusRawRep2.bigWig		hub		bigWig	Gingeras			2011-10-19		wgEncodeCshlShortRnaSeq	2	LID21147	1x36	Illumina_GA2x	012N	nucleus	wgEncode	wgEncodeCshlShortRnaSeqHelas3NucleusShorttotalTapMinusRawRep2	shortTotal		TAP-Only									
wgEncodeCshlLongRnaSeqNhlfCellLongnonpolyaMinusRawSigRep1.bigWig	wgEncodeEH000178	103M	NHLF		RnaSeq	MinusSignal	GSM765389	17f60d379e793b8fe79967446e4b5a8b	2010-10-22	CSHL	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/rna_signal/jan2011/hub/wgEncodeCshlLongRnaSeqNhlfCellLongnonpolyaMinusRawSigRep1.bigWig		hub		bigWig	Gingeras			2011-07-22	Nist14	wgEncodeCshlLongRnaSeq	1	LID8828	2x76D	Illumina_GA2x	033WC	cell	wgEncode	wgEncodeCshlLongRnaSeqNhlfCellLongnonpolyaMinusRawSigRep1	longNonPolyA											
wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02Aln_2Reps.norm5.rawsignal.bw	wgEncodeEH001493	834M	A549	Pol2	ChipSeq	Signal	GSM803360	c4b9e1e3532ad4e4f974bae27dfedfa0	2009-12-15	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02Aln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	SL307	bigWig	Myers	exp						SL245								EtOH_0.02pct	PCR2x	2010-06-22								
peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	wgEncodeEH000401	2.1M	HepG2	CTCF	ChipSeq	Peaks	GSM749715,GSM749683	9795cd2914bf55da65be5eaa571e0a6d	2009-07-02	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_vs_wgEncodeUwTfbsHepg2InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000470	bigBed	Stam	exp	std															2010-06-10								
wgEncodeUwHistoneHek293H3k4me3StdAln_2Reps.norm5.rawsignal.bw	wgEncodeEH000953	495M	HEK293	H3K4me3	ChipSeq	Signal	GSM945288	db98d28794b9a82ee1c5372028b1ee9d	2010-10-23	UW	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeUwHistoneHek293H3k4me3StdAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH000464	bigWig	Stam	exp	std																							
peakSeq.optimal.wgEncodeUwTfbsGm12874CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12874InputStdAlnRep1.bb	wgEncodeEH000451	1.8M	GM12874	CTCF	ChipSeq	Peaks	GSM749757,GSM749741	5851688b8f729455c6129518f3c5d961	2010-01-11	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsGm12874CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12874InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000461	bigBed	Stam	exp	std															2010-06-08								
