filename,NHEK,HMEC,AG04450,K562,MCF7,HUVEC,BJ,HSMM,HELAS3,GM12878,NHLF,H1HESC,A549,SKNSHRA,HEPG2,CSHL_WholeCell_LPA+-_15CellLines
ENST00000508147.1,0.014495,0,0,0,0,0,0,0,0.009174,0.0064275,0,0.009998,0.0047705,0,0,
ENST00000507058.1,0,0.017509,0.0248585,0.030687,0.115726,0,0,0,0.098493,0,0,0,0.0162525,0,0.019595,
ENST00000508389.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000543490.1,0,0,0,0,0,0,0,0,0,0.002608,0.001418,0,0,0.001649,0,
ENST00000420070.1,0,0,0.023525,0.0026905,0,0,0,0,0,0.0631305,0,0,0,0,0.020687,
ENST00000466292.1,0.0628223,0.072181,0.263765,0.167801,0.126459,0.0457155,0.153904,0.117544,0,0.19905,0.205612,1.84706,0.50823,0.451994,0.0102435,
ENST00000519048.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000508135.2,0,0,0,0,0.0007525,0,0,0,0,0,0,0,0,0,0,
ENST00000520390.1,0,0,0,0,0,0,0,0,0,0,0,0.009187,0.0029395,1.42071,0,
ENST00000421170.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000542291.1,0,0,0,0,0.013707,0,0,0,0,0.013439,0,0,0.014471,0.0302775,0,
ENST00000446580.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000458680.1,0,0,0,0,0,0,0.0050625,0,0,0,0,0,0.01935,0,0,
ENST00000420081.1,0.164345,0.040381,0.046617,0.20255,0.040284,0.0095915,0.0590975,0,0.543227,0.220068,0.017173,0.184155,0.065772,0.107706,0.0107605,
ENST00000521490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000533590.1,0.0184633,0.01199,0.0160695,0.0214455,0.215629,0.272186,0.0042235,0,0.186537,0.20108,0.069726,0.0618865,0.0315385,0.199298,0.104362,
ENST00000520280.1,0.00485833,0,0.00388,0.0033385,0,0,0.005205,0.0154925,0.0727995,0.056865,0.0032145,0.004386,0.007377,0.0154755,1.29522,
ENST00000532380.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000424690.1,0.0190597,0,0,0,0,0,0.0046625,0,0,66.1309,0,0,0.006498,0,0,
ENST00000435580.1,0.044845,0,0,0.0071995,0,0,0.127243,0.0137925,0,0.0109025,0.030251,0.01166,0,0.0212735,0.0202395,
ENST00000421181.1,0,0,0,0,0,0,0,0,0,0.0883955,0,0,0,0,0,
ENST00000445260.1,0,0,0,0,0.030647,0,0,0.0468175,0,0,0.058694,0,0,0.025846,0,
ENST00000541092.1,0.69163,2.79874,0.576148,3.68109,1.19658,2.17977,0.650774,0.409672,2.34049,5.20191,0.080184,1.015,3.28792,0.443247,2.80023,
ENST00000379050.2,6.71217,3.59413,6.05831,2.30835,1.69389,9.12772,4.94713,7.26328,2.94977,4.53696,5.49001,6.10989,3.2728,7.11404,11.5287,
ENST00000499082.2,0,0,0,0,0,0,0,0,0.0755815,0,0,0,0,0.271992,0.0157675,
ENST00000424580.1,0,0.002507,0.003545,0,0.028506,0,0,0.0015475,0.0063715,0.0035815,0.00246,3.27142,0.015871,0.0978785,0.003541,
ENST00000449990.1,0,0,0,0,0,0,0,0,0,0.011462,0,0.014532,0,0,0,
ENST00000436680.1,1.36161,0.432117,0.591733,13.8264,1.16486,0.131715,0.728101,0.44147,3.09483,2.44438,0.344131,0,3.23123,7.64722,2.45621,
ENST00000422160.1,0.0260517,0,0,0,0.0113585,0,0.060642,0,0.149942,0.301767,0,0.188212,0,0,0.0428595,
ENST00000447570.1,0.00343133,0,0.0434815,0.241901,0,0.172239,0.256148,1.08994,0.0021445,0.194993,0.105091,0.001682,0.010426,0.0651135,0.028404,
ENST00000421071.1,0,0,0,0,0.000952,0,0,0.0083355,0,0,0,0.00476,0,0,0,
ENST00000457371.1,0,0,0.0065585,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000456161.1,2.77866,1.38847,2.05915,6.66481,6.0883,4.69775,3.20656,3.04591,14.4195,20.3751,2.345,8.04051,5.50272,5.28404,12.2062,
ENST00000479030.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000443093.1,0.0360453,0.006581,0.0353255,0.0378995,0.110423,0.0333165,0.0294575,0.115935,0.148728,0.086297,0.0202165,0.041197,0.111076,0.150966,0.126896,
ENST00000358393.1,0.0844097,0.013322,0.065045,0.109563,0.482266,0.683457,0.0698685,0.0723705,0.826874,1.45488,0.0144685,0.149199,0.130437,0.170108,4.61421,
ENST00000369381.2,0.00398467,0.004954,0.00362,0.174784,0.14437,0.0039795,0.0050725,0.00323,0.0045885,0.039936,0.0029035,0,0.527361,1.28987,0.988969,
ENST00000235290.3,0.554466,0.79257,0.908184,6.21636,2.86966,1.12638,0.628929,1.22967,4.941,3.93385,0.943159,0.597862,2.17286,0.738494,0.928096,
ENST00000436570.1,0,0,0,0,0,0,0,0.0046565,0,0,0,0,0,0,0,
ENST00000423260.1,0.176008,0.064482,0.214994,1.11615,0.564581,0.218717,2.43072,0.086462,0.80345,2.47746,0.242091,0.135185,0.237102,0.776676,1.82381,
ENST00000531071.1,2.18279,3.90544,32.7345,0,0,1.63508,28.7946,12.2797,1.97949,0,25.7651,0.107786,1.63707,6.96401,0.279703,
ENST00000434150.1,0.00297333,0.008029,0.016113,0.011022,0.0078845,0.0141555,0,0.018684,0.118759,0.01975,0,0.518953,0.022576,0.196211,0.676651,
ENST00000448791.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000445161.1,0.028213,0.008443,0.007406,0.012001,0.037778,0,0.013651,0.0046765,0.033276,0,0.008046,0.0035765,0,0.007147,0,
ENST00000446492.1,0.287865,0.230733,0.120793,0.832061,0.124771,0.017757,0.463545,0.164307,0.968886,4.97549,0.114653,0.203782,0.168333,0.283813,1.3256,
ENST00000433182.1,0.019032,0,0.0618135,0.063071,0,0.0289555,0.0104885,0,0.122512,0.0374115,0,0.0126315,0.08592,0.0973135,0.230618,
ENST00000456293.1,58.6699,34.6799,47.9208,174.882,66.5218,32.2132,43.4418,27.9762,139.983,83.9671,29.0764,73.4866,84.423,41.7767,76.9135,
ENST00000511590.1,0,0,0,0,0,0,0,0.030146,0,0,0,0,0,0,0,
ENST00000414790.1,3.25698,0.214667,0.0567705,111.66,30.1337,0.742525,0.691922,5412.87,4.45381,0.0410405,1.03272,2.66838,11.9204,24.0641,1.58083,
ENST00000426890.1,0,0,0.001137,0,0,0,0.001184,0,0,0,0,0,0,0,0,
ENST00000520060.1,0,0,0.014422,0,0.017694,0,0.105601,0.0032015,0,0.403582,0.0126375,0,0,0,0,
ENST00000434040.1,0,0,0,0,0.003874,0.0187395,0,0.015858,0,0.0112695,0.0074775,0,0,0.030631,0,
ENST00000543182.1,0,0,0.010138,0,0,0,0,0,0,0,0,0,0,0,0.0040975,
ENST00000435492.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000446261.1,0.006218,0,0.043629,0,0,0,0.0815835,0.12857,0,0,0.196511,0,0,0.17434,0.004289,
ENST00000542093.1,0.216154,0.831744,0.001276,0.003611,0.537374,0.0018355,0.00179,0.015869,0.0378275,0,0.000473,0,0.035666,0.017334,0.026109,
ENST00000458361.1,0.00115467,0,0,0.0035555,0.0020365,0,0,0,0,0.002019,0,0.001488,0,0.002272,0.003799,
ENST00000445051.1,0,0.011406,0.0193635,0,0,0,0,0,0.0065105,0.026117,0,0,0.0120925,0,0,
ENST00000445172.1,0,0,0,0,0,0,0,0,0,0.45619,0,0,0.018354,0.013751,0,
ENST00000457272.1,0,0,0,0,0,0,0,0,0.0175315,0.0057105,0,0,0.013106,0,0.0038635,
ENST00000445293.1,0,0,0.0025645,4.95045,0,0.0061105,0,0.0124445,0.106707,0.225862,0,0,0,0.067577,0.0074425,
ENST00000456062.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000500590.1,0.124807,0.242114,0.117633,0.72497,0.277814,0.061853,0.027612,0.012426,1.0934,2.57676,0.0178305,0.423763,0.28114,0.170713,1.39583,
ENST00000510391.1,0,0,0,0,0,0,0,0,0.003828,0,0,0,0.007272,0,0,
ENST00000415890.1,0.0403153,0.068407,0.120478,0.285037,0.565136,0.225438,0.149323,0.0655575,0.655414,0.780103,0.0139185,0.187418,0.060327,0.324263,0.655699,
ENST00000533260.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000412260.1,1.03688,0.010306,1.79917,0.25092,1.40031,1.01378,1.10168,0.297585,0.57601,1.17415,0.472864,0.794976,1.46548,0.102647,0.138382,
ENST00000413591.1,0.0319677,0.001564,0.0049065,0.0031235,0.218835,0.0009285,0.0028055,0.0008705,0.0008925,0.001887,0.001474,0.0017375,0,0.0147445,0,
ENST00000412381.1,0,0,0,0,0,0,0,0,0,0,0,0.302123,0,0,0.0049955,
ENST00000520192.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000543061.1,0.0309933,0,0,0.0367285,0,0,0,0,0.0361905,0.165794,0,0,0.0398305,0.048577,0,
ENST00000457162.1,0.0934137,0,0.12182,0.587743,0,0,0,0,0.154357,0.233837,0,0,0.053754,0.0872755,0.0125615,
ENST00000513790.1,0,0,0,0,0,0,0.0048055,0.086573,0,0,0,0,0,0.0028255,0,
ENST00000369391.3,0.151968,0.053408,0.120522,0.144833,0.26673,0.202526,0.245598,0.06407,0.40077,0.0050955,0.0675845,0.566123,0.351681,0.237821,0.387597,
ENST00000536780.1,0.00661567,0.01308,0.0032035,0.0296895,1.04237,0.0097835,0.007767,0.0261585,0.002588,0,0,0.429408,0.046539,0.338283,0.0012995,
ENST00000523470.1,0.090581,0.096527,0.0886815,0.367226,0.452006,0.028785,0.120346,0.169353,0.492293,0.534069,0.240484,0.33743,0.587336,1.09079,0.715714,
ENST00000415780.1,0.044677,0,0.0799355,0.240133,0.036064,0.0270635,0.125361,0.079558,0.0404995,0.375157,0.069332,0.012255,0.065133,0.120431,0.03163,
ENST00000523591.1,0,0,0,0,0.006544,0,0,0,0,0,0,0.0501435,0,0,0,
ENST00000438770.1,0.132126,0.044314,0.068675,0.005026,0.026406,0.0576085,0.304312,0.191902,0,0.118581,0.236645,0,0.019416,0.579709,0.0046115,
ENST00000521292.1,0,0,0,0,0.002834,0,0,0,0,0,0,0.002351,0,0.004345,0,
