filename	NHEK	K562	HELAS3	GM12878	H1HESC
ENST00000508147.1	0.014495	0	0.009174	0.0064275	0.009998
ENST00000507058.1	0	0.030687	0.098493	0	0
ENST00000508389.1	0	0	0	0	0
ENST00000543490.1	0	0	0	0.002608	0
ENST00000420070.1	0	0.0026905	0	0.0631305	0
ENST00000466292.1	0.0628223	0.167801	0	0.19905	1.84706
ENST00000519048.1	0	0	0	0	0
ENST00000508135.2	0	0	0	0	0
ENST00000520390.1	0	0	0	0	0.009187
ENST00000421170.1	0	0	0	0	0
ENST00000542291.1	0	0	0	0.013439	0
ENST00000446580.1	0	0	0	0	0
ENST00000458680.1	0	0	0	0	0
ENST00000420081.1	0.164345	0.20255	0.543227	0.220068	0.184155
ENST00000521490.1	0	0	0	0	0
ENST00000533590.1	0.0184633	0.0214455	0.186537	0.20108	0.0618865
ENST00000520280.1	0.00485833	0.0033385	0.0727995	0.056865	0.004386
ENST00000532380.1	0	0	0	0	0
ENST00000424690.1	0.0190597	0	0	66.1309	0
ENST00000435580.1	0.044845	0.0071995	0	0.0109025	0.01166
ENST00000421181.1	0	0	0	0.0883955	0
ENST00000445260.1	0	0	0	0	0
ENST00000541092.1	0.69163	3.68109	2.34049	5.20191	1.015
ENST00000379050.2	6.71217	2.30835	2.94977	4.53696	6.10989
ENST00000499082.2	0	0	0.0755815	0	0
ENST00000424580.1	0	0	0.0063715	0.0035815	3.27142
ENST00000449990.1	0	0	0	0.011462	0.014532
ENST00000436680.1	1.36161	13.8264	3.09483	2.44438	0
ENST00000422160.1	0.0260517	0	0.149942	0.301767	0.188212
ENST00000447570.1	0.00343133	0.241901	0.0021445	0.194993	0.001682
ENST00000421071.1	0	0	0	0	0.00476
ENST00000457371.1	0	0	0	0	0
ENST00000456161.1	2.77866	6.66481	14.4195	20.3751	8.04051
ENST00000479030.1	0	0	0	0	0
ENST00000443093.1	0.0360453	0.0378995	0.148728	0.086297	0.041197
ENST00000358393.1	0.0844097	0.109563	0.826874	1.45488	0.149199
ENST00000369381.2	0.00398467	0.174784	0.0045885	0.039936	0
ENST00000235290.3	0.554466	6.21636	4.941	3.93385	0.597862
ENST00000436570.1	0	0	0	0	0
ENST00000423260.1	0.176008	1.11615	0.80345	2.47746	0.135185
ENST00000531071.1	2.18279	0	1.97949	0	0.107786
ENST00000434150.1	0.00297333	0.011022	0.118759	0.01975	0.518953
ENST00000448791.1	0	0	0	0	0
ENST00000445161.1	0.028213	0.012001	0.033276	0	0.0035765
ENST00000446492.1	0.287865	0.832061	0.968886	4.97549	0.203782
ENST00000433182.1	0.019032	0.063071	0.122512	0.0374115	0.0126315
ENST00000456293.1	58.6699	174.882	139.983	83.9671	73.4866
ENST00000511590.1	0	0	0	0	0
ENST00000414790.1	3.25698	111.66	4.45381	0.0410405	2.66838
ENST00000426890.1	0	0	0	0	0
ENST00000520060.1	0	0	0	0.403582	0
ENST00000434040.1	0	0	0	0.0112695	0
ENST00000543182.1	0	0	0	0	0
ENST00000435492.1	0	0	0	0	0
ENST00000446261.1	0.006218	0	0	0	0
ENST00000542093.1	0.216154	0.003611	0.0378275	0	0
ENST00000458361.1	0.00115467	0.0035555	0	0.002019	0.001488
ENST00000445051.1	0	0	0.0065105	0.026117	0
ENST00000445172.1	0	0	0	0.45619	0
ENST00000457272.1	0	0	0.0175315	0.0057105	0
ENST00000445293.1	0	4.95045	0.106707	0.225862	0
