ensembl_gene_id	sum	foundInDerrien	lncGeneNamesDb	lncDiseaseDb	lncFuncDb	lncRnaDb	lncInteract	litSearch	rank	name
ENSG00000015479	2.3	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	72	MATR3
ENSG00000099869	1.2	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	39	IGF2-AS
ENSG00000117242	1.1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3	PINK1-AS
ENSG00000130600	104.65	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	159	H19
ENSG00000140181	1.3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	48	HERC2P2
ENSG00000154198	1.3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	41	CYP4Z2P
ENSG00000163597	2.2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	69	SNHG16
ENSG00000171889	101.2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	105	MIR31HG
ENSG00000174365	101.2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	94	SNHG11
ENSG00000176124	1.1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	DLEU1
ENSG00000176840	101.1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	81	MIR7-3HG
ENSG00000177410	103.6	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	152	ZFAS1
ENSG00000177640	101.2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	104	CASC2
ENSG00000182048	1.3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	45	TRPC2
ENSG00000183242	103.6	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	151	WT1-AS
ENSG00000187621	101.2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	106	TCL6
ENSG00000199916	1.3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	49	RMRP
ENSG00000200182	1.1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	29	TERC
ENSG00000201098	1.4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	51	RNY1
ENSG00000202030	1.3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	46	VTRNA2-1
ENSG00000202198	3.65	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	74	RN7SK
ENSG00000202354	1.4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	53	RNY3
ENSG00000203875	102.7	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	147	SNHG5
ENSG00000204091	101.2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	96	TDRG1
ENSG00000204528	101.2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	103	PSORS1C3
ENSG00000213500	2.5	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	73	LAP3P2
ENSG00000214049	103.6	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	150	UCA1
ENSG00000214548	104.65	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	161	MEG3
ENSG00000215221	1.4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	63	UBA52P6
ENSG00000215256	1.1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	27	DHRS4-AS1
ENSG00000215417	102.25	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	131	MIR17HG
