LncRNA_GeneId	tx_biotype	gene_id_short	bm_type	group	bm_biotype
ENSG00000243485.1	antisense	ENSG00000243485	lincRNA	1	lincRNA
ENSG00000238009.2	antisense	ENSG00000238009	lincRNA	1	lincRNA
ENSG00000239945.1	lincRNA	ENSG00000239945	lincRNA	1	lincRNA
ENSG00000239906.1	antisense	ENSG00000239906	antisense	1	antisense
ENSG00000241860.1	antisense	ENSG00000241860	processed_transcript	1	processed_transcript
ENSG00000241599.1	lincRNA	ENSG00000241599	lincRNA	1	lincRNA
ENSG00000239368.1	lincRNA	ENSG00000239368	notKnown	1	notfound
ENSG00000228463.3	processed_transcript	ENSG00000228463	notKnown	1	lincRNA
ENSG00000240876.1	processed_transcript	ENSG00000240876	notKnown	1	notfound
ENSG00000237094.3	processed_transcript	ENSG00000237094	notKnown	1	lincRNA
ENSG00000236601.1	lincRNA	ENSG00000236601	notKnown	1	lincRNA
ENSG00000236743.1	lincRNA	ENSG00000236743	notKnown	1	lincRNA
ENSG00000231709.1	lincRNA	ENSG00000231709	notKnown	1	lincRNA
ENSG00000235146.2	lincRNA	ENSG00000235146	notKnown	1	lincRNA
ENSG00000239664.1	lincRNA	ENSG00000239664	notKnown	1	lincRNA
ENSG00000230021.1	processed_transcript	ENSG00000230021	notKnown	1	lincRNA
ENSG00000223659.1	lincRNA	ENSG00000223659	notKnown	1	lincRNA
ENSG00000235373.1	lincRNA	ENSG00000235373	notKnown	1	lincRNA
ENSG00000240618.1	processed_transcript	ENSG00000240618	notKnown	1	lincRNA
ENSG00000229905.1	lincRNA	ENSG00000229905	notKnown	1	antisense
ENSG00000228327.2	processed_transcript	ENSG00000228327	notKnown	1	lincRNA
ENSG00000237491.2	processed_transcript	ENSG00000237491	notKnown	1	lincRNA
ENSG00000242937.1	lincRNA	ENSG00000242937	notKnown	1	notfound
ENSG00000230092.2	lincRNA	ENSG00000230092	notKnown	1	pseudogene
ENSG00000241768.1	lincRNA	ENSG00000241768	notKnown	1	notfound
ENSG00000240453.1	lincRNA	ENSG00000240453	notKnown	1	processed_transcript
ENSG00000177757.1	lincRNA	ENSG00000177757	notKnown	1	lincRNA
ENSG00000225880.4	non_coding	ENSG00000225880	notKnown	1	lincRNA
ENSG00000228794.1	processed_transcript	ENSG00000228794	notKnown	1	processed_transcript
ENSG00000230368.2	lincRNA	ENSG00000230368	notKnown	1	lincRNA
ENSG00000230699.2	antisense	ENSG00000230699	notKnown	1	antisense
ENSG00000241180.1	antisense	ENSG00000241180	notKnown	1	antisense
ENSG00000224969.1	antisense	ENSG00000224969	notKnown	1	antisense
ENSG00000223823.1	lincRNA	ENSG00000223823	notKnown	1	lincRNA
ENSG00000205231.1	antisense	ENSG00000205231	notKnown	1	antisense
ENSG00000240731.1	processed_transcript	ENSG00000240731	notKnown	1	sense_intronic
ENSG00000224870.2	processed_transcript	ENSG00000224870	notKnown	1	protein_coding
ENSG00000239298.1	processed_transcript	ENSG00000239298	notKnown	1	notfound
ENSG00000225905.1	antisense	ENSG00000225905	notKnown	1	antisense
ENSG00000230270.1	antisense	ENSG00000230270	notKnown	1	notfound
ENSG00000205116.2	lincRNA	ENSG00000205116	notKnown	1	protein_coding
ENSG00000203586.2	lincRNA	ENSG00000203586	notKnown	1	notfound
ENSG00000236239.1	antisense	ENSG00000236239	notKnown	1	notfound
ENSG00000225285.1	antisense	ENSG00000225285	notKnown	1	lincRNA
ENSG00000245123.1	lincRNA	ENSG00000245123	notKnown	1	notfound
ENSG00000227775.1	processed_transcript	ENSG00000227775	notKnown	1	pseudogene
ENSG00000244250.1	processed_transcript	ENSG00000244250	notKnown	1	notfound
ENSG00000231050.1	antisense	ENSG00000231050	notKnown	1	antisense
ENSG00000233542.1	antisense	ENSG00000233542	notKnown	1	antisense
ENSG00000226969.1	antisense	ENSG00000226969	notKnown	1	antisense
ENSG00000182873.4	antisense	ENSG00000182873	notKnown	1	antisense
ENSG00000229813.1	lincRNA	ENSG00000229813	notKnown	1	notfound
ENSG00000224387.1	antisense	ENSG00000224387	notKnown	1	antisense
ENSG00000229393.1	antisense	ENSG00000229393	notKnown	1	antisense
ENSG00000238164.2	processed_transcript	ENSG00000238164	notKnown	1	processed_transcript
ENSG00000225931.2	antisense	ENSG00000225931	notKnown	1	antisense
ENSG00000228037.1	antisense	ENSG00000228037	notKnown	1	antisense
ENSG00000237058.1	antisense	ENSG00000237058	notKnown	1	antisense
ENSG00000233234.1	lincRNA	ENSG00000233234	notKnown	1	lincRNA
ENSG00000231630.1	lincRNA	ENSG00000231630	notKnown	1	lincRNA
ENSG00000177133.5	processed_transcript	ENSG00000177133	notKnown	1	lincRNA
ENSG00000226286.1	antisense	ENSG00000226286	notKnown	1	antisense
ENSG00000238260.1	antisense	ENSG00000238260	notKnown	1	antisense
ENSG00000227589.1	antisense	ENSG00000227589	notKnown	1	antisense
