lncRnaName	gene_id	website
AC096655.1	ENSG00000232991	http://www.ncbi.nlm.nih.gov/pubmed/23645148
MIR7-3hostgene	ENSG00000176840	http://www.ncbi.nlm.nih.gov/pubmed/23643933
DLEU1	ENSG00000176124	http://www.ncbi.nlm.nih.gov/pubmed/23593011
DLEU2	ENSG00000231607	http://www.ncbi.nlm.nih.gov/pubmed/23593011
CCAT1	ENSG00000247844	http://www.ncbi.nlm.nih.gov/pubmed/23143645
LSAMP-AS3-002	ENST00000496242	http://www.ncbi.nlm.nih.gov/pubmed/22497636
MIRA	ENSG00000258399	http://www.ncbi.nlm.nih.gov/pubmed/21925392
ATXN8	ENSG00000230223	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3495748/
HAR1A	ENSG00000238820	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3495748/
HAR1A	ENSG00000231133	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3495748/
BACE1	HGNC:37125	http://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1-AS
LINC00299	ENSG00000236790	http://www.ncbi.nlm.nih.gov/pubmed/23217328
AFAP1-AS1	NR_026892.1	http://www.ncbi.nlm.nih.gov/pubmed/23333711
PINK1-AS	ENSG00000117242	http://www.biochemsoctrans.org/bst/040/0902/bst0400902.htm
NPPA-AS1	ENSG00000242349	http://www.biochemsoctrans.org/bst/040/0902/bst0400902.htmENSG00000227418
SPRY4-IT1	HGNC:42394	http://www.bmbreports.org/fulltext/bmbreports/view.php?vol=45&page=604
ncRAN	ENSG00000163597	http://www.bmbreports.org/fulltext/bmbreports/view.php?vol=45&page=604
PCA3	ENSG00000225937	http://www.bmbreports.org/fulltext/bmbreports/view.php?vol=45&page=604
UCHL1-AS1	ENSG00000251173	http://www.ncbi.nlm.nih.gov/pubmed/23064229
LSINCT5	HGNC:37824	http://www.nature.com/modpathol/journal/v26/n2/full/modpathol2012160a.html
BDNFOS	ENSG00000245573	http://www.genetics.org/cgi/pmidlookup?view=long&pmid=22960
RPPH1	ENSG00000252678	http://www.genetics.org/cgi/pmidlookup?view=long&pmid=22960213
KRASP1	ENSG00000220635	http://www.ncbi.nlm.nih.gov/pubmed/20577206
