gene_id_short	gene_id	HSMM.longNonPolyA	BJ.longNonPolyA	NHEK.longNonPolyA	HSMM.longPolyA	MCF.7.longNonPolyA	HUVEC.longNonPolyA	K562.longNonPolyA	BJ.longPolyA	AG04450.longNonPolyA	NHEK.longPolyA	HUVEC.longPolyA	MCF.7.longPolyA	HMEC.longNonPolyA	K562.longPolyA	AG04450.longPolyA	HMEC.longPolyA	NHEK.longNonPolyA.1	HEPG2.longNonPolyA	NHEK.longPolyA.1	HEPG2.longPolyA	SK.N.SH_RA.longNonPolyA	A549.longNonPolyA	SK.N.SH_RA.longPolyA	H1.HESC.longNonPolyA	A549.longPolyA	NHLF.longNonPolyA	H1.HESC.longPolyA	GM12878.longNonPolyA	HELA.S3.longNonPolyA	NHLF.longPolyA	HELA.S3.longPolyA	GM12878.longPolyA	entropyExpr	sumExpr	varianceExpr	averageExpr	minExpr	maxExpr	maxExprType	threeTimesRest	nTimesRest	tissSpec	HSMM.longNonPolyA.ExprLabel	BJ.longNonPolyA.ExprLabel	NHEK.longNonPolyA.ExprLabel	HSMM.longPolyA.ExprLabel	MCF.7.longNonPolyA.ExprLabel	HUVEC.longNonPolyA.ExprLabel	K562.longNonPolyA.ExprLabel	BJ.longPolyA.ExprLabel	AG04450.longNonPolyA.ExprLabel	NHEK.longPolyA.ExprLabel	HUVEC.longPolyA.ExprLabel	MCF.7.longPolyA.ExprLabel	HMEC.longNonPolyA.ExprLabel	K562.longPolyA.ExprLabel	AG04450.longPolyA.ExprLabel	HMEC.longPolyA.ExprLabel	NHEK.longNonPolyA.1.ExprLabel	HEPG2.longNonPolyA.ExprLabel	NHEK.longPolyA.1.ExprLabel	HEPG2.longPolyA.ExprLabel	SK.N.SH_RA.longNonPolyA.ExprLabel	A549.longNonPolyA.ExprLabel	SK.N.SH_RA.longPolyA.ExprLabel	H1.HESC.longNonPolyA.ExprLabel	A549.longPolyA.ExprLabel	NHLF.longNonPolyA.ExprLabel	H1.HESC.longPolyA.ExprLabel	GM12878.longNonPolyA.ExprLabel	HELA.S3.longNonPolyA.ExprLabel	NHLF.longPolyA.ExprLabel	HELA.S3.longPolyA.ExprLabel	GM12878.longPolyA.ExprLabel	expressed	transcriptType	geneType	label	lncRnaName	LncRNA_tx_size
ENSG00000100181	ENSG00000100181.14	0.003203	0.001126	0.018779	0.03515	0.000533	0.014008	0.258916	0.019423	0	0.236672	0.019946	2.7e-05	0.003836	1.336048	9.3e-05	0.134636	0.086182	0.001043	0.130398	0.00018	1.2e-05	0	0.000556	0.000165	0.00011	0.002804	0.000647	0.001268	0.004721	0.0509	0	0	2.29781791990428	2.361382	0.0574706385975766	0.0737931875	0	1.336048	K562.longPolyA	K562.longPolyA	5.16016005190873	0.48901267153383	mid	low	mid	mid	low	mid	high	low	none	mid	low	low	low	high	low	mid	high	low	mid	low	low	none	low	low	low	low	low	low	low	mid	none	none	yes	unknown	derrienLncRNA	1	TPTEP1	1978.66666666667
ENSG00000130600	ENSG00000130600.9	9.770441	0.000695	0.002854	248.538299	0.034356	0.028564	0.31262	0.032157	0.000375	0.077828	0.008123	0.606101	0.001649	2.11969	0.002992	0.004582	0.009721	0.0644	0.088073	0.0091	0.030762	0.040094	0.368001	0.009925	0.182428	0.000793	0.1234	0.000719	0.114948	0.085617	0.044424	0.000579	0.398235437492704	262.71431	1926.29349582767	8.2098221875	0.000375	248.538299	HSMM.longPolyA	HSMM.longPolyA	25.4377769642128	0.834109653609585	high	low	low	high	high	mid	high	mid	low	mid	low	high	low	high	low	low	mid	mid	mid	low	high	high	high	low	high	low	mid	low	high	mid	mid	low	yes	unknown	derrienLncRNA	1	H19	1532.78571428571
ENSG00000171889	ENSG00000171889.3	0.000918	0.030555	0.01701	0.052356	0	0.012235	0	0.320535	0.022386	0.447704	0.027655	0	0	0	0.076038	0.242341	0.109211	0.034919	0.273283	0	0.000286	0.039828	0.001548	0.007992	0.114448	0.011704	0.003084	0	0.022963	0.222578	0.061454	0.000207	3.54791419955081	2.153238	0.0124115111037056	0.0672886875	0	0.447704	NHEK.longPolyA	none	1.39673982560407	0.225505768700493	low	high	mid	mid	none	mid	none	mid	mid	mid	mid	none	none	none	mid	mid	high	mid	high	none	low	high	low	low	mid	mid	low	none	mid	mid	mid	low	yes	unknown	derrienLncRNA	1	MIR31HG	745
ENSG00000174365	ENSG00000174365.14	0.005262	0.004291	0.004258	0.106526	0.008243	0.00905	0.011857	0.249408	0.002855	0.158382	0.184128	0.045045	0.000472	0.069113	0.093911	0.139406	0.016577	0.033637	0.067192	0.090589	0.006947	0.005176	0.111205	0.025605	0.108048	0.00397	0.115325	0.021551	0.043733	0.115889	0.089888	0.033635	4.28591714268661	1.981174	0.00395281720164113	0.0619116875	0.000472	0.249408	BJ.longPolyA	none	1.35453597497393	0.154121647261676	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	yes	unknown	derrienLncRNA	1	SNHG11	1083.93333333333
ENSG00000176840	ENSG00000176840.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003297	0	0	0.002786	0	0.025837	0	0.000326	0	0.00029	0	0.003738	0	0.000435	0	1.47834881282723	0.036709	2.12394793618952e-05	0.00114715625	0	0.025837	SK.N.SH_RA.longPolyA	SK.N.SH_RA.longPolyA	6.91198501872659	0.591654475971831	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	low	none	none	mid	none	mid	none	low	none	low	none	low	none	low	none	yes	unknown	derrienLncRNA	1	MIR7-3HG	557.5
ENSG00000177410	ENSG00000177410.8	0.012682	0.021209	0.01123	2.055012	0.05145	0.033727	0.132266	8.167342	0.025676	3.800367	1.77494	4.365511	0.011156	10.115648	4.873616	1.825109	0.092849	0.09176	4.310774	5.249054	0.01317	0.070332	2.597348	0.101614	12.824019	0.023038	2.09239	0.052517	0.177613	3.061947	7.317393	3.05637	3.82369087629015	78.409129	10.9332447488054	2.45028528125	0.011156	12.824019	A549.longPolyA	none	1.26774073198277	0.188059872740282	mid	high	mid	high	high	mid	high	high	high	high	high	high	mid	high	high	high	high	mid	high	high	mid	high	high	mid	high	high	high	high	high	high	high	high	yes	unknown	derrienLncRNA	1	ZFAS1	793.571428571429
ENSG00000177640	ENSG00000177640.11	0.001048	0.002503	5.4e-05	0.005989	0.006218	0.001138	0.003851	0.021887	0.001936	0.006248	0.004735	0.011374	0.00284	0.005373	0.007156	0.008159	0.002798	0.004598	0.005109	0.001463	0.005538	0.003389	0.017482	0.006683	0.014207	0.001041	0.002679	0.001299	0.002996	0.008665	0.026942	0.001022	4.42496974889435	0.19642	3.84874425645161e-05	0.006138125	5.4e-05	0.026942	HELA.S3.longPolyA	none	1.23095901676794	0.164534719079225	low	mid	low	low	mid	low	mid	low	low	low	low	mid	low	low	low	low	low	low	low	low	mid	mid	mid	low	mid	low	low	low	low	low	mid	low	yes	unknown	derrienLncRNA	1	CASC2	1761.66666666667
ENSG00000183242	ENSG00000183242.7	0	0	0	0.001185	0	0.000448	0.01259	0	0	0	0	0	0	0.028084	0	0	0	0.000177	0	0.000371	0.001251	0.000969	0.004728	0	0.003822	0	9.6e-05	0	0.001589	0	0	4.7e-05	2.19918157773352	0.055357	2.88784713135081e-05	0.00172990625	0	0.028084	K562.longPolyA	none	2.23065925337569	0.44728063723603	none	none	none	low	none	low	mid	none	none	none	none	none	none	mid	none	none	none	low	none	low	low	low	low	none	low	none	low	none	low	none	none	low	yes	unknown	derrienLncRNA	1	WT1-AS	1416.71428571429
ENSG00000187621	ENSG00000187621.9	0	0	0.001052	0	0.00019	0.000167	0.000293	0	0	0	0	0.000242	0	0	0.000305	0	0	0.000205	0	0	0.00082	5.7e-05	0	0.002066	0.000294	0	0.032202	0.000153	0	0	0.000156	0.000436	1.17479287782667	0.038638	3.21623958669355e-05	0.0012074375	0	0.032202	H1.HESC.longPolyA	H1.HESC.longPolyA	15.5866408518877	0.702087817916267	none	none	low	none	low	low	low	none	none	none	none	low	none	none	low	none	none	low	none	none	low	low	none	low	low	none	mid	low	none	none	low	low	yes	unknown	derrienLncRNA	1	TCL6	2617.72727272727
ENSG00000203875	ENSG00000203875.4	0.003614	0.010121	0.003921	3.133777	0.010275	0.067264	0.190392	3.072329	0.0187	2.659051	1.426987	1.176654	0.011009	4.710735	0.365629	1.238943	0.065889	0.051743	2.519763	0.957283	0.017274	0.020808	1.112684	0.132245	4.001483	0.00169	0.980811	0.057762	0.071698	3.709514	0.328316	1.283048	3.83570584932619	33.411412	1.92880484427334	1.044106625	0.00169	4.710735	K562.longPolyA	none	1.17724728556888	0.168015931084479	mid	mid	mid	high	mid	high	high	high	mid	high	high	high	mid	high	high	high	mid	mid	high	high	high	high	high	high	high	low	high	high	mid	high	high	high	yes	unknown	derrienLncRNA	1	SNHG5	670.6
