trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	expr	testFunctionalLncs	testSetSize
10	4	545	28	10	0.125	0.285714285714286	0.0647359454855196	0.618424333084019	glm.poly2.weight.stats	14	1367
10	1	552	21	13	0.0454545454545455	0.0714285714285714	0.0579216354344123	0.517389678384443	glm.poly2.stats	14	1367
10	1	525	48	13	0.0204081632653061	0.0714285714285714	0.103918228279387	0.44166043380703	glm.main.weight.stats	14	1367
10	1	571	2	13	0.333333333333333	0.0714285714285714	0.0255536626916525	0.551483420593367	glm.main.stats	14	1367
10	4	531	42	10	0.0869565217391304	0.285714285714286	0.0885860306643952	0.606207928197457	glm.cross.weights.stats	14	1367
10	2	555	18	12	0.1	0.142857142857143	0.051107325383305	0.555721765145849	glm.cross.stats	14	1367
10	2	544	29	12	0.0645161290322581	0.142857142857143	0.0698466780238501	0.468960359012713	lda.main.stats	14	1367
10	0	567	6	14	0	0	0.0340715502555367	0.339503864372974	qda.main.stats	14	1367
10	1	561	12	13	0.0769230769230769	0.0714285714285714	0.0425894378194208	0	knn.1.stats	14	1367
10	1	573	0	13	1	0.0714285714285714	0.0221465076660988	0	knn.3.stats	14	1367
10	1	573	0	13	1	0.0714285714285714	0.0221465076660988	0	knn.5.stats	14	1367
10	0	555	18	14	0	0	0.0545144804088586	0.484293193717277	glm.circ.weights.stats	14	1367
10	1	570	3	13	0.25	0.0714285714285714	0.0272572402044293	0.375342807279981	glm.circ.stats	14	1367
10	1	561	12	13	0.0769230769230769	0.0714285714285714	0.0425894378194208	0.69359262029419	ridge.weight.stats	14	1367
10	0	573	0	14	NA	0	0.0238500851788757	0.689478932934429	ridge.stats	14	1367
10	1	568	5	13	0.166666666666667	0.0714285714285714	0.030664395229983	0.660932435801546	lasso.weight.stats	14	1367
10	0	573	0	14	NA	0	0.0238500851788757	0.5	lasso.stats	14	1367
9	5	123	448	11	0.011037527593819	0.3125	0.781942078364566	0.263955779334501	glm.poly2.weight.stats	16	1367
9	1	557	14	15	0.0666666666666667	0.0625	0.0494037478705281	0.518990805604203	glm.poly2.stats	16	1367
9	6	491	80	10	0.0697674418604651	0.375	0.153321976149915	0.617447460595447	glm.main.weight.stats	16	1367
9	2	568	3	14	0.4	0.125	0.0289608177172062	0.586799474605957	glm.main.stats	16	1367
9	4	545	26	12	0.133333333333333	0.25	0.0647359454855196	0.60223292469352	glm.cross.weights.stats	16	1367
9	2	555	16	14	0.111111111111111	0.125	0.051107325383305	0.548489492119089	glm.cross.stats	16	1367
9	5	553	18	11	0.217391304347826	0.3125	0.0494037478705281	0.527035901926446	lda.main.stats	16	1367
9	1	571	0	15	1	0.0625	0.0255536626916525	0.181917688266199	qda.main.stats	16	1367
9	3	562	9	13	0.25	0.1875	0.0374787052810903	0	knn.1.stats	16	1367
9	1	570	1	15	0.5	0.0625	0.0272572402044293	0	knn.3.stats	16	1367
9	1	571	0	15	1	0.0625	0.0255536626916525	0	knn.5.stats	16	1367
9	4	566	5	12	0.444444444444444	0.25	0.0289608177172062	0.620621716287215	glm.circ.weights.stats	16	1367
9	3	565	6	13	0.333333333333333	0.1875	0.0323679727427598	0.588496059544659	glm.circ.stats	16	1367
9	3	569	2	13	0.6	0.1875	0.0255536626916525	0.798598949211906	ridge.weight.stats	16	1367
9	0	571	0	16	NA	0	0.0272572402044293	0.787434325744305	ridge.stats	16	1367
9	2	568	3	14	0.4	0.125	0.0289608177172062	0.715411558669	lasso.weight.stats	16	1367
9	0	571	0	16	NA	0	0.0272572402044293	0.685967600700524	lasso.stats	16	1367
8	3	545	34	5	0.0810810810810811	0.375	0.0664395229982965	0.658139032815199	glm.poly2.weight.stats	8	1367
8	3	555	24	5	0.111111111111111	0.375	0.0494037478705281	0.666774611398964	glm.poly2.stats	8	1367
8	3	531	48	5	0.0588235294117647	0.375	0.090289608177172	0.55548359240069	glm.main.weight.stats	8	1367
8	1	576	3	7	0.25	0.125	0.0170357751277683	0.664939550949914	glm.main.stats	8	1367
8	5	533	46	3	0.0980392156862745	0.625	0.0834752981260647	0.772776338514681	glm.cross.weights.stats	8	1367
8	2	550	29	6	0.0645161290322581	0.25	0.0596252129471891	0.599956822107081	glm.cross.stats	8	1367
8	2	539	40	6	0.0476190476190476	0.25	0.0783645655877342	0.564766839378238	lda.main.stats	8	1367
8	1	563	16	7	0.0588235294117647	0.125	0.0391822827938672	0.448834196891192	qda.main.stats	8	1367
8	0	566	13	8	0	0	0.0357751277683135	0	knn.1.stats	8	1367
8	0	578	1	8	0	0	0.0153321976149915	0	knn.3.stats	8	1367
8	0	577	2	8	0	0	0.0170357751277683	0	knn.5.stats	8	1367
