trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	expr	testFunctionalLncs	testSetSize
10	5	544	28	10	0.151515151515152	0.333333333333333	0.0647359454855196	0.642191142191142	glm.poly2.weight.stats	15	1367
10	3	544	28	12	0.0967741935483871	0.2	0.0681431005110733	0.575524475524475	glm.poly2.stats	15	1367
10	5	516	56	10	0.0819672131147541	0.333333333333333	0.112436115843271	0.645104895104897	glm.main.weight.stats	15	1367
10	3	568	4	12	0.428571428571429	0.2	0.0272572402044293	0.673892773892775	glm.main.stats	15	1367
10	6	530	42	9	0.125	0.4	0.0868824531516184	0.663286713286713	glm.cross.weights.stats	15	1367
10	4	548	24	11	0.142857142857143	0.266666666666667	0.0596252129471891	0.612354312354312	glm.cross.stats	15	1367
10	5	532	40	10	0.111111111111111	0.333333333333333	0.0851788756388415	0.639976689976692	lda.main.stats	15	1367
10	2	560	12	13	0.142857142857143	0.133333333333333	0.0425894378194208	0.423251748251747	qda.main.stats	15	1367
10	0	554	18	15	0	0	0.0562180579216355	0	knn.1.stats	15	1367
10	2	568	4	13	0.333333333333333	0.133333333333333	0.0289608177172062	0	knn.3.stats	15	1367
10	0	572	0	15	NA	0	0.0255536626916525	0	knn.5.stats	15	1367
10	0	566	6	15	0	0	0.0357751277683135	0.494755244755245	glm.circ.weights.stats	15	1367
10	0	568	4	15	0	0	0.0323679727427598	0.496503496503497	glm.circ.stats	15	1367
10	5	560	12	10	0.294117647058824	0.333333333333333	0.0374787052810903	0.714568764568766	ridge.weight.stats	15	1367
10	0	572	0	15	NA	0	0.0255536626916525	0.713636363636366	ridge.stats	15	1367
10	0	570	2	15	0	0	0.0289608177172062	0.691258741258741	lasso.weight.stats	15	1367
10	0	569	3	15	0	0	0.030664395229983	0.634965034965034	lasso.stats	15	1367
9	2	546	29	10	0.0645161290322581	0.166666666666667	0.0664395229982965	0.558115942028986	glm.poly2.weight.stats	12	1367
9	2	554	21	10	0.0869565217391304	0.166666666666667	0.0528109028960818	0.565072463768116	glm.poly2.stats	12	1367
9	3	538	37	9	0.075	0.25	0.0783645655877342	0.592826086956522	glm.main.weight.stats	12	1367
9	3	574	1	9	0.75	0.25	0.0170357751277683	0.66869565217391	glm.main.stats	12	1367
9	1	545	30	11	0.032258064516129	0.0833333333333333	0.0698466780238501	0.515579710144927	glm.cross.weights.stats	12	1367
9	1	561	14	11	0.0666666666666667	0.0833333333333333	0.0425894378194208	0.529492753623188	glm.cross.stats	12	1367
9	3	545	30	9	0.0909090909090909	0.25	0.0664395229982965	0.563188405797101	lda.main.stats	12	1367
9	1	570	5	11	0.166666666666667	0.0833333333333333	0.0272572402044293	0.303115942028986	qda.main.stats	12	1367
9	0	564	11	12	0	0	0.0391822827938672	0	knn.1.stats	12	1367
9	0	574	1	12	0	0	0.0221465076660988	0	knn.3.stats	12	1367
9	0	575	0	12	NA	0	0.020442930153322	0	knn.5.stats	12	1367
9	12	5	570	0	0.0206185567010309	1	0.971039182282794	0.504347826086956	glm.circ.weights.stats	12	1367
9	2	559	16	10	0.111111111111111	0.166666666666667	0.0442930153321976	0.569420289855072	glm.circ.stats	12	1367
9	2	573	2	10	0.5	0.166666666666667	0.020442930153322	0.718985507246376	ridge.weight.stats	12	1367
9	0	575	0	12	NA	0	0.020442930153322	0.721159420289854	ridge.stats	12	1367
9	2	570	5	10	0.285714285714286	0.166666666666667	0.0255536626916525	0.622028985507246	lasso.weight.stats	12	1367
9	0	575	0	12	NA	0	0.020442930153322	0.652681159420289	lasso.stats	12	1367
8	5	537	30	15	0.142857142857143	0.25	0.0766609880749574	0.598544973544974	glm.poly2.weight.stats	20	1367
8	4	555	12	16	0.25	0.2	0.0477001703577513	0.589417989417989	glm.poly2.stats	20	1367
8	6	522	45	14	0.117647058823529	0.3	0.100511073253833	0.463403880070548	glm.main.weight.stats	20	1367
8	4	565	2	16	0.666666666666667	0.2	0.030664395229983	0.523721340388009	glm.main.stats	20	1367
8	5	527	40	15	0.111111111111111	0.25	0.0936967632027257	0.589726631393298	glm.cross.weights.stats	20	1367
8	5	550	17	15	0.227272727272727	0.25	0.0545144804088586	0.610008818342152	glm.cross.stats	20	1367
8	8	523	44	12	0.153846153846154	0.4	0.0954003407155025	0.627777777777775	lda.main.stats	20	1367
8	4	278	289	16	0.0136518771331058	0.2	0.519591141396934	0.274867724867725	qda.main.stats	20	1367
8	2	559	8	18	0.2	0.1	0.0442930153321976	0	knn.1.stats	20	1367
8	1	565	2	19	0.333333333333333	0.05	0.0357751277683135	0	knn.3.stats	20	1367
8	1	567	0	19	1	0.05	0.0323679727427598	0	knn.5.stats	20	1367
8	14	12	555	6	0.0246045694200351	0.7	0.955706984667802	0.360582010582011	glm.circ.weights.stats	20	1367
8	4	564	3	16	0.571428571428571	0.2	0.0323679727427598	0.597354497354497	glm.circ.stats	20	1367
8	8	539	28	12	0.222222222222222	0.4	0.0681431005110733	0.71234567901235	ridge.weight.stats	20	1367
8	0	567	0	20	NA	0	0.0340715502555367	0.783509700176372	ridge.stats	20	1367
8	8	531	36	12	0.181818181818182	0.4	0.0817717206132879	0.647795414462081	lasso.weight.stats	20	1367
