gene_id	HSMM.longNonPolyA	BJ.longNonPolyA	NHEK.longNonPolyA	HSMM.longPolyA	MCF.7.longNonPolyA	HUVEC.longNonPolyA	K562.longNonPolyA	BJ.longPolyA	AG04450.longNonPolyA	NHEK.longPolyA	HUVEC.longPolyA	MCF.7.longPolyA	HMEC.longNonPolyA	K562.longPolyA	AG04450.longPolyA	HMEC.longPolyA	NHEK.longNonPolyA.1	HEPG2.longNonPolyA	NHEK.longPolyA.1	HEPG2.longPolyA	SK.N.SH_RA.longNonPolyA	A549.longNonPolyA	SK.N.SH_RA.longPolyA	H1.HESC.longNonPolyA	A549.longPolyA	NHLF.longNonPolyA	H1.HESC.longPolyA	GM12878.longNonPolyA	HELA.S3.longNonPolyA	NHLF.longPolyA	HELA.S3.longPolyA	GM12878.longPolyA	entropyExpr	sumExpr	varianceExpr	averageExpr	minExpr	maxExpr	maxExprType	threeTimesRest	nTimesRest	tissSpec	HSMM.longNonPolyA.ExprLabel	BJ.longNonPolyA.ExprLabel	NHEK.longNonPolyA.ExprLabel	HSMM.longPolyA.ExprLabel	MCF.7.longNonPolyA.ExprLabel	HUVEC.longNonPolyA.ExprLabel	K562.longNonPolyA.ExprLabel	BJ.longPolyA.ExprLabel	AG04450.longNonPolyA.ExprLabel	NHEK.longPolyA.ExprLabel	HUVEC.longPolyA.ExprLabel	MCF.7.longPolyA.ExprLabel	HMEC.longNonPolyA.ExprLabel	K562.longPolyA.ExprLabel	AG04450.longPolyA.ExprLabel	HMEC.longPolyA.ExprLabel	NHEK.longNonPolyA.1.ExprLabel	HEPG2.longNonPolyA.ExprLabel	NHEK.longPolyA.1.ExprLabel	HEPG2.longPolyA.ExprLabel	SK.N.SH_RA.longNonPolyA.ExprLabel	A549.longNonPolyA.ExprLabel	SK.N.SH_RA.longPolyA.ExprLabel	H1.HESC.longNonPolyA.ExprLabel	A549.longPolyA.ExprLabel	NHLF.longNonPolyA.ExprLabel	H1.HESC.longPolyA.ExprLabel	GM12878.longNonPolyA.ExprLabel	HELA.S3.longNonPolyA.ExprLabel	NHLF.longPolyA.ExprLabel	HELA.S3.longPolyA.ExprLabel	GM12878.longPolyA.ExprLabel	expressed	transcriptType	geneType	gene_id_short	external_gene_id	withinSubset	gene_biotype	lncRnaName	label
ENSG00000049319.2	0	0	0	0.00014	0	0	0	0.000905	0	9e-04	0	0.000998	0	0.000601	0.000117	0	0.001419	0.000154	0.005715	0.00077	0	0.000157	9.2e-05	0.000669	0.002182	0	0.000299	0	8.1e-05	0.000167	0	0.00034	3.17935915494994	0.015706	1.16398286693548e-06	0.0004908125	0	0.005715	NHEK.longPolyA.1	none	2.61915673693859	0.344761948316724	none	none	none	low	none	none	none	low	none	low	none	low	none	low	low	none	low	low	low	low	none	low	low	low	low	none	low	none	low	low	none	low	yes	unknown	derrienLncRNA	ENSG00000049319	ENSG00000049319	rest	nonFunctional	ENSG00000049319	0
ENSG00000088970.10	0.002326	0.010243	0.00083	0.240727	0.00237	0.006642	0.034956	0.310855	0.011822	0.197062	0.069221	0.035211	0.006336	0.16795	0.17068	0.21309	0.019192	0.136212	0.113917	1.22594	0.004983	0.005155	0.052909	0.104586	0.092615	0.000654	0.157964	0.012433	0.081101	0.227655	0.133398	0.113497	3.80459650680047	3.962532	0.0478858057055968	0.123829125	0.000654	1.22594	HEPG2.longPolyA	HEPG2.longPolyA	3.94376799472423	0.304602094679901	low	mid	low	mid	low	mid	mid	mid	mid	mid	mid	mid	low	mid	mid	mid	mid	high	mid	high	mid	mid	mid	high	mid	low	mid	mid	high	mid	mid	mid	yes	unknown	derrienLncRNA	ENSG00000088970	ENSG00000088970	rest	nonFunctional	ENSG00000088970	0
ENSG00000100181.14	0.003203	0.001126	0.018779	0.03515	0.000533	0.014008	0.258916	0.019423	0	0.236672	0.019946	2.7e-05	0.003836	1.336048	9.3e-05	0.134636	0.086182	0.001043	0.130398	0.00018	1.2e-05	0	0.000556	0.000165	0.00011	0.002804	0.000647	0.001268	0.004721	0.0509	0	0	2.29781791990428	2.361382	0.0574706385975766	0.0737931875	0	1.336048	K562.longPolyA	K562.longPolyA	5.16016005190873	0.48901267153383	mid	low	mid	mid	low	mid	high	low	none	mid	low	low	low	high	low	mid	high	low	mid	low	low	none	low	low	low	low	low	low	low	mid	none	none	yes	unknown	derrienLncRNA	ENSG00000100181	ENSG00000100181	rest	nonFunctional	ENSG00000100181	1
ENSG00000104691.10	0.009493	0.004237	0.001279	0.197857	0.003792	0.016702	0.033245	0.219191	0.006966	0.211066	0.071094	0.049284	0.000605	0.427121	0.101131	0.089912	0.020396	0.044597	0.155484	0.139371	0.004364	0.004443	0.121918	0.030566	0.180888	0.006628	0.040145	0.014662	0.029527	0.227168	0.197161	0.090884	4.1620131297652	2.751177	0.00971086799885383	0.08597428125	0.000605	0.427121	K562.longPolyA	none	1.88019879560501	0.180774290152108	mid	mid	low	mid	low	mid	mid	mid	mid	mid	mid	mid	low	high	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	high	mid	mid	mid	mid	mid	high	mid	yes	unknown	derrienLncRNA	ENSG00000104691	ENSG00000104691	rest	nonFunctional	ENSG00000104691	0
ENSG00000110347.7	0	4.1e-05	0	0.000376	0	0	0	0.00573	0	0.001689	0	8.2e-05	0	0	0.000433	0.001072	0.000135	0	0.003515	0	0.001323	0	0.027107	0	0.000249	0	0	0	0	0.006625	0.00046	0.001364	2.31285117867757	0.050201	2.43017947570565e-05	0.00156878125	0	0.027107	SK.N.SH_RA.longPolyA	SK.N.SH_RA.longPolyA	4.09162264150943	0.470523584504569	none	low	none	low	none	none	none	low	none	low	none	low	none	none	low	low	low	none	low	none	low	none	mid	none	low	none	none	none	none	low	low	low	yes	unknown	derrienLncRNA	ENSG00000110347	ENSG00000110347	rest	nonFunctional	ENSG00000110347	0
ENSG00000115934.11	0	0	0	0	0.001147	0	0.099617	0	0	0	0.000283	0.000923	0	0.008356	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613058575900889	0.110996	0.000310034272629032	0.003468625	0	0.099617	K562.longNonPolyA	K562.longNonPolyA	11.9216132120632	0.769224618291066	none	none	none	none	low	none	high	none	none	none	low	low	none	mid	none	none	none	low	none	none	none	none	none	none	none	none	none	none	none	none	none	none	yes	unknown	derrienLncRNA	ENSG00000115934	ENSG00000115934	rest	nonFunctional	ENSG00000115934	0
ENSG00000124915.6	0	7.5e-05	0	0	0.000425	0	0.00028	0	0	0	0	0	0	0.000259	0	0	0	0.006885	0	0.001351	0.000175	0.001256	0.00046	0	0.000953	0	0.000795	0.012739	0.004757	0	0	0.009126	2.68375472429093	0.039536	8.78285387096774e-06	0.0012355	0	0.012739	GM12878.longNonPolyA	none	1.39590181897874	0.314164478177648	none	low	none	none	low	none	low	none	none	none	none	none	none	low	none	none	none	low	none	low	low	low	low	none	low	none	low	mid	low	none	none	mid	yes	unknown	derrienLncRNA	ENSG00000124915	ENSG00000124915	rest	nonFunctional	ENSG00000124915	0
ENSG00000126749.7	0.01117	0.029341	0.030375	0.564675	0.041356	0.030528	0.062181	1.100533	0.09884	1.935922	0.510897	0.290591	0.032698	0.517961	0.318777	0.75205	0.08023	0.135724	0.416663	0.418757	0.018978	0.038215	0.213901	0.093223	0.473131	0.034152	0.661008	0.096518	0.139134	0.971494	1.151528	0.152904	4.13545692777725	11.423455	0.190772637084676	0.35698296875	0.01117	1.935922	NHEK.longPolyA	none	1.6811766626604	0.193192472618711	mid	high	high	high	high	mid	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	mid	high	high	high	high	high	high	high	high	yes	unknown	derrienLncRNA	ENSG00000126749	ENSG00000126749	rest	nonFunctional	ENSG00000126749	0
ENSG00000130600.9	9.770441	0.000695	0.002854	248.538299	0.034356	0.028564	0.31262	0.032157	0.000375	0.077828	0.008123	0.606101	0.001649	2.11969	0.002992	0.004582	0.009721	0.0644	0.088073	0.0091	0.030762	0.040094	0.368001	0.009925	0.182428	0.000793	0.1234	0.000719	0.114948	0.085617	0.044424	0.000579	0.398235437492704	262.71431	1926.29349582767	8.2098221875	0.000375	248.538299	HSMM.longPolyA	HSMM.longPolyA	25.4377769642128	0.834109653609585	high	low	low	high	high	mid	high	mid	low	mid	low	high	low	high	low	low	mid	mid	mid	low	high	high	high	low	high	low	mid	low	high	mid	mid	low	yes	unknown	derrienLncRNA	ENSG00000130600	ENSG00000130600	rest	nonFunctional	ENSG00000130600	1
ENSG00000135253.8	0	0	0	0.000277	0.000626	0	8.4e-05	0.000203	7.1e-05	0.000882	0.000568	0.001785	0	0.000874	0.000182	0.003063	0.000285	0.001934	0.000612	0.003682	0	4.2e-05	0.000324	0.003089	0.000459	0.00014	0.026285	0.005115	0.002348	0.00092	0	0.002334	3.0341248261596	0.056184	2.17047192258065e-05	0.00175575	0	0.026285	H1.HESC.longPolyA	H1.HESC.longPolyA	5.13880742913001	0.419243397348273	none	none	none	low	low	none	low	low	low	low	low	low	none	low	low	low	low	low	low	low	none	low	low	low	low	low	mid	mid	low	low	none	low	yes	unknown	derrienLncRNA	ENSG00000135253	ENSG00000135253	rest	nonFunctional	ENSG00000135253	0
