mainEffects	ratio	reg	lambda	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	0.7	TRUE	0	1	0.772727272727273	0.375	11	13	10	112	0.447916666666667
TRUE	0.7	TRUE	0.01	1	0.909090909090909	0	1	0	20	125	0.96875
TRUE	0.7	TRUE	0.1	1	0.886363636363636	0	0	0	21	125	0.974358974358974
TRUE	0.7	TRUE	1	1	0.863636363636364	0	1	0	20	125	0.526315789473684
TRUE	0.7	TRUE	10	1	0.886363636363636	0	0	0	21	125	0.661538461538462
TRUE	0.7	TRUE	100	1	0.909090909090909	0	0	0	21	125	0.50625
TRUE	0.7	TRUE	1000	1	0.204545454545455	1	21	125	0	0	0.787301587301587
TRUE	0.7	TRUE	10000	1	0.181818181818182	1	21	125	0	0	0.0833333333333333
TRUE	0.7	TRUE	1e+05	1	0.159090909090909	1	21	125	0	0	0.428571428571429
TRUE	0.7	TRUE	1e+06	1	0.159090909090909	1	21	125	0	0	0.594594594594595
TRUE	0.7	TRUE	1e+07	1	0.181818181818182	1	21	125	0	0	0.690972222222222
TRUE	0.7	TRUE	1e+08	1	0.159090909090909	1	21	125	0	0	0.716216216216216
TRUE	0.7	TRUE	0	2	0.681818181818182	0.1	6	14	15	111	0.214705882352941
TRUE	0.7	TRUE	0.01	2	0.840909090909091	0	0	0	21	125	0.285714285714286
TRUE	0.7	TRUE	0.1	2	0.840909090909091	0	1	0	20	125	0.266409266409266
TRUE	0.7	TRUE	1	2	0.886363636363636	0	0	0	21	125	0.405128205128205
TRUE	0.7	TRUE	10	2	0.818181818181818	0	1	0	20	125	0.791666666666667
TRUE	0.7	TRUE	100	2	0.909090909090909	0	0	0	21	125	0.36875
TRUE	0.7	TRUE	1000	2	0.113636363636364	1	21	125	0	0	0.630769230769231
TRUE	0.7	TRUE	10000	2	0.181818181818182	1	21	125	0	0	0.496527777777778
TRUE	0.7	TRUE	1e+05	2	0.113636363636364	1	21	125	0	0	0.751282051282052
TRUE	0.7	TRUE	1e+06	2	0.136363636363636	1	21	125	0	0	0.793859649122807
TRUE	0.7	TRUE	1e+07	2	0.0681818181818182	1	21	125	0	0	0.703252032520325
TRUE	0.7	TRUE	1e+08	2	0.136363636363636	1	21	125	0	0	0.734649122807018
TRUE	0.7	TRUE	0	3	0.795454545454545	0.428571428571429	11	13	10	112	0.606177606177606
TRUE	0.7	TRUE	0.01	3	0.840909090909091	0	0	0	21	125	0.0656370656370656
TRUE	0.7	TRUE	0.1	3	0.840909090909091	0	0	0	21	125	0.71042471042471
TRUE	0.7	TRUE	1	3	0.840909090909091	0	0	0	21	125	0.208494208494208
TRUE	0.7	TRUE	10	3	0.863636363636364	0	1	0	20	125	0.710526315789474
TRUE	0.7	TRUE	100	3	0.909090909090909	0	0	0	21	125	0.825
TRUE	0.7	TRUE	1000	3	0.136363636363636	1	21	125	0	0	0.649122807017544
TRUE	0.7	TRUE	10000	3	0.136363636363636	1	21	125	0	0	0.609649122807018
TRUE	0.7	TRUE	1e+05	3	0.181818181818182	1	21	125	0	0	0.579861111111111
TRUE	0.7	TRUE	1e+06	3	0.0681818181818182	1	21	125	0	0	0.414634146341464
TRUE	0.7	TRUE	1e+07	3	0.159090909090909	1	21	125	0	0	0.683397683397683
TRUE	0.7	TRUE	1e+08	3	0.181818181818182	1	21	125	0	0	0.512152777777778
TRUE	0.7	TRUE	0	4	0.886363636363636	0.625	11	9	10	116	0.71875
TRUE	0.7	TRUE	0.01	4	0.954545454545455	0	1	0	20	125	0.261904761904762
TRUE	0.7	TRUE	0.1	4	0.840909090909091	0	0	0	21	125	0.177606177606178
TRUE	0.7	TRUE	1	4	0.863636363636364	0	1	0	20	125	0.741228070175438
TRUE	0.7	TRUE	10	4	0.886363636363636	0	0	0	21	125	0.923076923076923
TRUE	0.7	TRUE	100	4	0.886363636363636	0	0	0	21	125	0.0461538461538462
TRUE	0.7	TRUE	1000	4	0.136363636363636	1	21	125	0	0	0.837719298245614
TRUE	0.7	TRUE	10000	4	0.113636363636364	1	21	125	0	0	0.712820512820513
TRUE	0.7	TRUE	1e+05	4	0.159090909090909	1	21	125	0	0	0.799227799227799
TRUE	0.7	TRUE	1e+06	4	0.136363636363636	1	21	125	0	0	0.635964912280702
TRUE	0.7	TRUE	1e+07	4	0.159090909090909	1	21	125	0	0	0.241312741312741
TRUE	0.7	TRUE	1e+08	4	0.181818181818182	1	21	125	0	0	0.704861111111111
TRUE	0.7	TRUE	0	5	0.727272727272727	0.2	13	18	8	107	0.492307692307693
TRUE	0.7	TRUE	0.01	5	0.863636363636364	0	0	0	21	125	0.0131578947368421
TRUE	0.7	TRUE	0.1	5	0.909090909090909	0	1	0	20	125	0.8625
TRUE	0.7	TRUE	1	5	0.886363636363636	0	0	0	21	125	0.323076923076923
TRUE	0.7	TRUE	10	5	0.840909090909091	0	0	0	21	125	0.328185328185328
TRUE	0.7	TRUE	100	5	0.795454545454545	0	0	0	21	125	0.533333333333333
TRUE	0.7	TRUE	1000	5	0.136363636363636	1	21	125	0	0	0.56140350877193
TRUE	0.7	TRUE	10000	5	0.136363636363636	1	21	125	0	0	0.671052631578947
TRUE	0.7	TRUE	1e+05	5	0.136363636363636	1	21	125	0	0	0.745614035087719
TRUE	0.7	TRUE	1e+06	5	0.0909090909090909	1	21	125	0	0	0.6375
TRUE	0.7	TRUE	1e+07	5	0.204545454545455	1	21	125	0	0	0.66984126984127
TRUE	0.7	TRUE	1e+08	5	0.204545454545455	1	21	125	0	0	0.677777777777778
TRUE	0.7	TRUE	0	6	0.772727272727273	0.142857142857143	9	10	12	115	0.455598455598456
TRUE	0.7	TRUE	0.01	6	0.795454545454545	0	1	0	20	125	0.250793650793651
TRUE	0.7	TRUE	0.1	6	0.863636363636364	0	0	0	21	125	0.0614035087719298
TRUE	0.7	TRUE	1	6	0.840909090909091	0	0	0	21	125	0.0965250965250965
TRUE	0.7	TRUE	10	6	0.863636363636364	0	1	0	20	125	0.894736842105263
TRUE	0.7	TRUE	100	6	0.818181818181818	0	0	0	21	125	0.142361111111111
TRUE	0.7	TRUE	1000	6	0.159090909090909	1	21	125	0	0	0.706563706563707
TRUE	0.7	TRUE	10000	6	0.0681818181818182	1	21	125	0	0	0.634146341463415
TRUE	0.7	TRUE	1e+05	6	0.204545454545455	1	21	125	0	0	0.749206349206349
TRUE	0.7	TRUE	1e+06	6	0.136363636363636	1	21	125	0	0	0.616228070175439
TRUE	0.7	TRUE	1e+07	6	0.0909090909090909	1	21	125	0	0	0.728125
TRUE	0.7	TRUE	1e+08	6	0.136363636363636	1	21	125	0	0	0.56359649122807
TRUE	0.7	TRUE	0	7	0.840909090909091	0.333333333333333	7	4	14	121	0.358730158730159
TRUE	0.7	TRUE	0.01	7	0.840909090909091	0	0	0	21	125	0.0888030888030888
TRUE	0.7	TRUE	0.1	7	0.840909090909091	0	0	0	21	125	0.135135135135135
TRUE	0.7	TRUE	1	7	0.863636363636364	0	1	0	20	125	0.280701754385965
TRUE	0.7	TRUE	10	7	0.886363636363636	0	0	0	21	125	0.697435897435898
TRUE	0.7	TRUE	100	7	0.909090909090909	0	0	0	21	125	0.75
TRUE	0.7	TRUE	1000	7	0.181818181818182	1	21	125	0	0	0.670138888888889
TRUE	0.7	TRUE	10000	7	0.181818181818182	1	21	125	0	0	0.815972222222222
TRUE	0.7	TRUE	1e+05	7	0.113636363636364	1	21	125	0	0	0.635897435897436
TRUE	0.7	TRUE	1e+06	7	0.113636363636364	1	21	125	0	0	0.828205128205128
TRUE	0.7	TRUE	1e+07	7	0.113636363636364	1	21	125	0	0	0.533333333333333
TRUE	0.7	TRUE	1e+08	7	0.159090909090909	1	21	125	0	0	0.801158301158301
TRUE	0.7	TRUE	0	8	0.863636363636364	0.428571428571429	9	9	12	116	0.517374517374517
TRUE	0.7	TRUE	0.01	8	0.886363636363636	0	0	0	21	125	0.276923076923077
TRUE	0.7	TRUE	0.1	8	0.863636363636364	0	1	0	20	125	0.864035087719298
TRUE	0.7	TRUE	1	8	0.886363636363636	0	0	0	21	125	0.102564102564103
TRUE	0.7	TRUE	10	8	0.840909090909091	0	0	0	21	125	0.702702702702703
TRUE	0.7	TRUE	100	8	0.840909090909091	0	0	0	21	125	0.54054054054054
TRUE	0.7	TRUE	1000	8	0.204545454545455	1	21	125	0	0	0.301587301587302
TRUE	0.7	TRUE	10000	8	0.113636363636364	1	21	125	0	0	0.435897435897436
TRUE	0.7	TRUE	1e+05	8	0.181818181818182	1	21	125	0	0	0.538194444444444
TRUE	0.7	TRUE	1e+06	8	0.136363636363636	1	21	125	0	0	0.864035087719298
TRUE	0.7	TRUE	1e+07	8	0.181818181818182	1	21	125	0	0	0.671875
TRUE	0.7	TRUE	1e+08	8	0.0909090909090909	1	21	125	0	0	0.7875
TRUE	0.7	TRUE	0	9	0.727272727272727	0.428571428571429	7	12	14	113	0.416988416988417
TRUE	0.7	TRUE	0.01	9	0.818181818181818	0	0	0	21	125	0.163194444444444
TRUE	0.7	TRUE	0.1	9	0.909090909090909	0	1	0	20	125	0.1875
TRUE	0.7	TRUE	1	9	0.818181818181818	0	0	0	21	125	0.243055555555556
TRUE	0.7	TRUE	10	9	0.840909090909091	0	0	0	21	125	0.706563706563707
TRUE	0.7	TRUE	100	9	0.909090909090909	0	0	0	21	125	0.20625
TRUE	0.7	TRUE	1000	9	0.181818181818182	1	21	125	0	0	0.666666666666667
TRUE	0.7	TRUE	10000	9	0.136363636363636	1	21	125	0	0	0.320175438596491
TRUE	0.7	TRUE	1e+05	9	0.181818181818182	1	21	125	0	0	0.659722222222223
TRUE	0.7	TRUE	1e+06	9	0.0681818181818182	1	21	125	0	0	0.642276422764228
TRUE	0.7	TRUE	1e+07	9	0.113636363636364	1	21	125	0	0	0.635897435897436
TRUE	0.7	TRUE	1e+08	9	0.181818181818182	1	21	125	0	0	0.597222222222222
TRUE	0.7	TRUE	0	10	0.818181818181818	0.142857142857143	11	11	10	114	0.409266409266409
TRUE	0.7	TRUE	0.01	10	0.909090909090909	0	1	0	20	125	0.23125
TRUE	0.7	TRUE	0.1	10	0.818181818181818	0	1	0	20	125	0.822916666666667
TRUE	0.7	TRUE	1	10	0.886363636363636	0	0	0	21	125	0.0820512820512821
TRUE	0.7	TRUE	10	10	0.772727272727273	0	0	0	21	125	0.676470588235294
TRUE	0.7	TRUE	100	10	0.931818181818182	0	0	0	21	125	0.853658536585366
TRUE	0.7	TRUE	1000	10	0.181818181818182	1	21	125	0	0	0.78125
TRUE	0.7	TRUE	10000	10	0.159090909090909	1	21	125	0	0	0.629343629343629
TRUE	0.7	TRUE	1e+05	10	0.227272727272727	1	21	125	0	0	0.758823529411765
TRUE	0.7	TRUE	1e+06	10	0.159090909090909	1	21	125	0	0	0.652509652509653
TRUE	0.7	TRUE	1e+07	10	0.159090909090909	1	21	125	0	0	0.623552123552124
TRUE	0.7	TRUE	1e+08	10	0.159090909090909	1	21	125	0	0	0.627413127413127
