mainEffects	reg	ratio	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	FALSE	0.5	1	0.684931506849315	0.363636363636364	11	23	10	102	0.442815249266862
TRUE	FALSE	0.6	1	0.813559322033898	0.428571428571429	10	9	11	116	0.631746031746032
TRUE	FALSE	0.7	1	0.840909090909091	0.125	7	2	14	123	0.416666666666667
TRUE	FALSE	0.8	1	0.866666666666667	0.333333333333333	9	5	12	120	0.333333333333333
TRUE	FALSE	0.9	1	0.933333333333333	0.5	11	4	10	121	0.923076923076923
TRUE	FALSE	0.5	2	0.73972602739726	0	3	8	18	117	0.202179176755448
TRUE	FALSE	0.6	2	0.813559322033898	0.555555555555556	13	14	8	111	0.62
TRUE	FALSE	0.7	2	0.795454545454545	0.125	5	8	16	117	0.3125
TRUE	FALSE	0.8	2	0.8	0	12	8	9	117	0.410714285714286
TRUE	FALSE	0.9	2	0.866666666666667	0	11	9	10	116	0.142857142857143
TRUE	FALSE	0.5	3	0.849315068493151	0.333333333333333	10	14	11	111	0.467661691542289
TRUE	FALSE	0.6	3	0.830508474576271	0.333333333333333	9	7	12	118	0.432222222222222
TRUE	FALSE	0.7	3	0.818181818181818	0.666666666666667	12	15	9	110	0.666666666666667
TRUE	FALSE	0.8	3	0.866666666666667	0	8	6	13	119	0.234567901234568
TRUE	FALSE	0.9	3	0.666666666666667	0	12	24	9	101	0
TRUE	FALSE	0.5	4	0.876712328767123	0.25	4	1	17	124	0.404371584699454
TRUE	FALSE	0.6	4	0.898305084745763	0.428571428571429	9	8	12	117	0.662087912087912
TRUE	FALSE	0.7	4	0.863636363636364	0.428571428571429	10	8	11	117	0.687258687258687
TRUE	FALSE	0.8	4	0.7	0.222222222222222	9	8	12	117	0.37037037037037
TRUE	FALSE	0.9	4	0.6	0.25	11	12	10	113	0.590909090909091
TRUE	FALSE	0.5	5	0.780821917808219	0.3	9	16	12	109	0.449206349206349
TRUE	FALSE	0.6	5	0.813559322033898	0.285714285714286	10	11	11	114	0.357142857142857
TRUE	FALSE	0.7	5	0.863636363636364	0.333333333333333	10	8	11	117	0.583333333333333
TRUE	FALSE	0.8	5	0.8	0	10	5	11	120	0.403846153846154
TRUE	FALSE	0.9	5	0.666666666666667	0	11	7	10	118	0.692307692307692
TRUE	FALSE	0.5	6	0.849315068493151	0.166666666666667	6	3	15	122	0.334699453551913
TRUE	FALSE	0.6	6	0.830508474576271	0.375	12	15	9	110	0.698529411764706
TRUE	FALSE	0.7	6	0.772727272727273	0.25	8	9	13	116	0.298611111111111
TRUE	FALSE	0.8	6	0.666666666666667	0	7	13	14	112	0.0763888888888889
TRUE	FALSE	0.9	6	0.8	0.5	12	17	9	108	0.423076923076923
TRUE	FALSE	0.5	7	0.849315068493151	0.333333333333333	11	12	10	113	0.701492537313433
TRUE	FALSE	0.6	7	0.796610169491525	0.222222222222222	9	9	12	116	0.291111111111111
TRUE	FALSE	0.7	7	0.840909090909091	0.2	11	15	10	110	0.235897435897436
TRUE	FALSE	0.8	7	0.733333333333333	0.2	9	10	12	115	0.36
TRUE	FALSE	0.9	7	0.666666666666667	0	13	17	8	108	0.615384615384615
TRUE	FALSE	0.5	8	0.726027397260274	0.214285714285714	8	13	13	112	0.393462469733656
TRUE	FALSE	0.6	8	0.796610169491525	0.555555555555556	14	15	7	110	0.731111111111111
TRUE	FALSE	0.7	8	0.931818181818182	0.5	11	3	10	122	0.535087719298246
TRUE	FALSE	0.8	8	0.866666666666667	0.25	11	9	10	116	0.653846153846154
TRUE	FALSE	0.9	8	0.733333333333333	0	12	12	9	113	0.785714285714286
TRUE	FALSE	0.5	9	0.767123287671233	0.153846153846154	6	11	15	114	0.370512820512821
TRUE	FALSE	0.6	9	0.745762711864407	0.25	12	19	9	106	0.583333333333334
TRUE	FALSE	0.7	9	0.863636363636364	0.166666666666667	8	4	13	121	0.429824561403509
TRUE	FALSE	0.8	9	0.8	0.25	11	7	10	118	0.346153846153846
TRUE	FALSE	0.9	9	0.666666666666667	0	12	16	9	109	0.384615384615385
TRUE	FALSE	0.5	10	0.876712328767123	0.375	7	6	14	119	0.373076923076923
TRUE	FALSE	0.6	10	0.779661016949153	0.2	8	12	13	113	0.377551020408163
TRUE	FALSE	0.7	10	0.727272727272727	0.5	11	22	10	103	0.54375
TRUE	FALSE	0.8	10	0.7	0.111111111111111	3	7	18	118	0.386243386243386
TRUE	FALSE	0.9	10	0.8	0	11	5	10	120	0.0384615384615384
