mainEffects	ratio	reg	lambda	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	0.7	TRUE	0	1	0.975609756097561	0.111111111111111	10	4	32	1317	0.419783873649211
TRUE	0.7	TRUE	0.01	1	0.968292682926829	0	0	0	42	1321	0.267002518891688
TRUE	0.7	TRUE	0.1	1	0.970731707317073	0	0	0	42	1321	0.175670016750419
TRUE	0.7	TRUE	1	1	0.951219512195122	0	0	0	42	1321	0.21948717948718
TRUE	0.7	TRUE	10	1	0.958536585365854	0	0	0	42	1321	0.491992216734024
TRUE	0.7	TRUE	100	1	0.968292682926829	0	0	0	42	1321	0.740360395272237
TRUE	0.7	TRUE	1000	1	0.965853658536585	0	0	0	42	1321	0.751623376623377
TRUE	0.7	TRUE	10000	1	0.0341463414634146	1	42	1321	0	0	0.191468253968254
TRUE	0.7	TRUE	1e+05	1	0.0268292682926829	1	42	1321	0	0	0.725905673274095
TRUE	0.7	TRUE	1e+06	1	0.0317073170731707	1	42	1321	0	0	0.219531098624297
TRUE	0.7	TRUE	1e+07	1	0.0317073170731707	1	42	1321	0	0	0.257217593489634
TRUE	0.7	TRUE	1e+08	1	0.0292682926829268	1	42	1321	0	0	0.65358040201005
TRUE	0.7	TRUE	0	2	0.960975609756098	0.166666666666667	6	1	36	1320	0.410430839002268
TRUE	0.7	TRUE	0.01	2	0.973170731707317	0	0	0	42	1321	0.156071998177262
TRUE	0.7	TRUE	0.1	2	0.970731707317073	0	0	0	42	1321	0.239530988274707
TRUE	0.7	TRUE	1	2	0.960975609756098	0	0	0	42	1321	0.152125634517767
TRUE	0.7	TRUE	10	2	0.975609756097561	0	0	0	42	1321	0.2745
TRUE	0.7	TRUE	100	2	0.968292682926829	0	0	0	42	1321	0.871924045727574
TRUE	0.7	TRUE	1000	2	0.980487804878049	0	0	0	42	1321	0.887748756218905
TRUE	0.7	TRUE	10000	2	0.0390243902439024	1	42	1321	0	0	0.315751903553299
TRUE	0.7	TRUE	1e+05	2	0.0512195121951219	1	42	1321	0	0	0.213673644264904
TRUE	0.7	TRUE	1e+06	2	0.0268292682926829	1	42	1321	0	0	0.595352016404648
TRUE	0.7	TRUE	1e+07	2	0.0390243902439024	1	42	1321	0	0	0.390625
TRUE	0.7	TRUE	1e+08	2	0.0341463414634146	1	42	1321	0	0	0.270472582972583
TRUE	0.7	TRUE	0	3	0.982926829268293	0.25	11	3	31	1318	0.40205223880597
TRUE	0.7	TRUE	0.01	3	0.980487804878049	0	0	0	42	1321	0.0904850746268657
TRUE	0.7	TRUE	0.1	3	0.978048780487805	0	0	0	42	1321	0.122194513715711
TRUE	0.7	TRUE	1	3	0.960975609756098	0	0	0	42	1321	0.210501269035533
TRUE	0.7	TRUE	10	3	0.965853658536585	0	0	0	42	1321	0.483044733044733
TRUE	0.7	TRUE	100	3	0.965853658536585	0	0	0	42	1321	0.851911976911979
TRUE	0.7	TRUE	1000	3	0.958536585365854	0	0	0	42	1321	0.697201017811704
TRUE	0.7	TRUE	10000	3	0.0390243902439024	1	42	1321	0	0	0.216132614213198
TRUE	0.7	TRUE	1e+05	3	0.0439024390243902	1	42	1321	0	0	0.818168934240363
TRUE	0.7	TRUE	1e+06	3	0.0317073170731707	1	42	1321	0	0	0.545243169928309
TRUE	0.7	TRUE	1e+07	3	0.0268292682926829	1	42	1321	0	0	0.722601959444065
TRUE	0.7	TRUE	1e+08	3	0.0292682926829268	1	42	1321	0	0	0.315117252931323
TRUE	0.7	TRUE	0	4	0.985365853658537	0.333333333333333	11	6	31	1315	0.601072607260728
TRUE	0.7	TRUE	0.01	4	0.963414634146341	0	0	0	42	1321	0.230886075949367
TRUE	0.7	TRUE	0.1	4	0.973170731707317	0	0	0	42	1321	0.203918888129414
TRUE	0.7	TRUE	1	4	0.968292682926829	0	0	0	42	1321	0.175934896337919
