mainEffects	reg	ratio	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	FALSE	0.5	1	0.967741935483871	0.0434782608695652	3	0	39	1321	0.268852675331531
TRUE	FALSE	0.5	2	0.961876832844575	0.0454545454545455	5	9	37	1312	0.383539944903581
TRUE	FALSE	0.5	3	0.973607038123167	0.181818181818182	8	2	34	1319	0.363774104683195
TRUE	FALSE	0.5	4	0.958944281524927	0	2	2	40	1319	0.266006097560977
TRUE	FALSE	0.5	5	0.966275659824047	0.0555555555555556	5	8	37	1313	0.472556894243642
TRUE	FALSE	0.5	6	0.963343108504399	0.0454545454545455	4	6	38	1315	0.380716253443525
TRUE	FALSE	0.5	7	0.967741935483871	0.0869565217391304	5	1	37	1320	0.299399617338524
TRUE	FALSE	0.5	8	0.973607038123167	0.133333333333333	9	6	33	1315	0.469765117441281
TRUE	FALSE	0.5	9	0.972140762463343	0.0526315789473684	7	2	35	1319	0.3418274192268
TRUE	FALSE	0.5	10	0.978005865102639	0.117647058823529	8	0	34	1321	0.234144183989384
