trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	expr	testFunctionalLncs	testSetSize
10	4	535	38	10	0.0952380952380952	0.285714285714286	0.0817717206132879	0.609698329593617	glm.poly2.weight.stats	14	1367
10	2	544	29	12	0.0645161290322581	0.142857142857143	0.0698466780238501	0.546123161306407	glm.poly2.stats	14	1367
10	2	562	11	12	0.153846153846154	0.142857142857143	0.0391822827938672	0.56182996758913	glm.main.weight.stats	14	1367
10	2	570	3	12	0.4	0.142857142857143	0.0255536626916525	0.693592620294191	glm.main.stats	14	1367
10	4	539	34	10	0.105263157894737	0.285714285714286	0.0749574105621805	0.613188730989778	glm.cross.weights.stats	14	1367
10	2	549	24	12	0.0769230769230769	0.142857142857143	0.061328790459966	0.550486163051608	glm.cross.stats	14	1367
10	4	533	40	10	0.0909090909090909	0.285714285714286	0.0851788756388415	0.588880578409373	lda.main.stats	14	1367
10	1	561	12	13	0.0769230769230769	0.0714285714285714	0.0425894378194208	0.350349040139616	qda.main.stats	14	1367
10	1	550	23	13	0.0416666666666667	0.0714285714285714	0.061328790459966	0	knn.1.stats	14	1367
10	0	570	3	14	0	0	0.0289608177172062	0	knn.3.stats	14	1367
10	0	572	1	14	0	0	0.0255536626916525	0	knn.5.stats	14	1367
10	11	18	555	3	0.019434628975265	0.785714285714286	0.950596252129472	0.408563949139865	glm.circ.weights.stats	14	1367
10	2	570	3	12	0.4	0.142857142857143	0.0255536626916525	0.568810770381451	glm.circ.stats	14	1367
10	3	561	12	11	0.2	0.214285714285714	0.0391822827938672	0.667414609822985	ridge.weight.stats	14	1367
10	0	573	0	14	NA	0	0.0238500851788757	0.661805036150584	ridge.stats	14	1367
10	3	570	3	11	0.5	0.214285714285714	0.0238500851788757	0.692969334330591	lasso.weight.stats	14	1367
10	0	573	0	14	NA	0	0.0238500851788757	0.646347544253304	lasso.stats	14	1367
9	8	253	319	7	0.0244648318042813	0.533333333333333	0.555366269165247	0.487820512820513	glm.poly2.weight.stats	15	1367
9	3	556	16	12	0.157894736842105	0.2	0.0477001703577513	0.586013986013986	glm.poly2.stats	15	1367
9	3	568	4	12	0.428571428571429	0.2	0.0272572402044293	0.596503496503496	glm.main.weight.stats	15	1367
9	2	570	2	13	0.5	0.133333333333333	0.0255536626916525	0.762587412587413	glm.main.stats	15	1367
9	3	525	47	12	0.06	0.2	0.100511073253833	0.558916083916084	glm.cross.weights.stats	15	1367
9	2	548	24	13	0.0769230769230769	0.133333333333333	0.0630323679727428	0.545687645687646	glm.cross.stats	15	1367
9	5	540	32	10	0.135135135135135	0.333333333333333	0.0715502555366269	0.668414918414922	lda.main.stats	15	1367
9	2	562	10	13	0.166666666666667	0.133333333333333	0.0391822827938672	0.451165501165502	qda.main.stats	15	1367
9	3	559	13	12	0.1875	0.2	0.0425894378194208	0	knn.1.stats	15	1367
9	0	572	0	15	NA	0	0.0255536626916525	0	knn.3.stats	15	1367
9	0	572	0	15	NA	0	0.0255536626916525	0	knn.5.stats	15	1367
9	3	569	3	12	0.5	0.2	0.0255536626916525	0.597377622377622	glm.circ.weights.stats	15	1367
9	2	569	3	13	0.4	0.133333333333333	0.0272572402044293	0.564044289044289	glm.circ.stats	15	1367
9	2	568	4	13	0.333333333333333	0.133333333333333	0.0289608177172062	0.728671328671329	ridge.weight.stats	15	1367
9	0	572	0	15	NA	0	0.0255536626916525	0.728554778554778	ridge.stats	15	1367
9	3	566	6	12	0.333333333333333	0.2	0.030664395229983	0.697668997668999	lasso.weight.stats	15	1367
9	0	572	0	15	NA	0	0.0255536626916525	0.695337995337996	lasso.stats	15	1367
8	4	552	21	10	0.16	0.285714285714286	0.0528109028960818	0.6245325355273	glm.poly2.weight.stats	14	1367
