gene_id	withinSubset	lncRnaName	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6	Comp.7	Comp.8	Comp.9	Comp.10	Comp.11	Comp.12	Comp.13	Comp.14	Comp.15
ENSG00000088970.10	rest	ENSG00000088970	7.2006762152867	3.93175303666064	2.05091676555667	2.50278237079084	1.97092920956356	2.34632630376227	1.76824098662573	1.17926720465869	1.51358311208551	2.24554705650481	1.08372651795504	4.09672603596541	1.17124940763213	2.01513571993779	4.63157824763467
ENSG00000104691.10	rest	ENSG00000104691	7.29224407971345	3.99913171126058	1.9951468863207	2.50503760476488	1.99325937127792	2.34019441124163	1.76768147971941	1.16902966079206	1.51127363848169	2.24919112090542	1.08070765001345	4.09665086167273	1.17939291379908	2.02117347919953	4.62809598463002
ENSG00000126749.7	rest	ENSG00000126749	7.17480066108305	3.8644139350739	1.96470809025146	2.41690651925962	1.98543535335965	2.41142371101382	1.78803348066623	1.16144636344917	1.51682128206559	2.25926302583526	1.08491549567988	4.09662220529799	1.1724213689581	2.01963395395172	4.62977878308534
ENSG00000130600.9	true	ENSG00000130600	7.24070405283098	3.8374806330572	1	1	1	1	1	1.77797477145993	2.50745445035455	1	4.37143809390941	1	8.33212951597943	1	1
ENSG00000142396.4	rest	ENSG00000142396	7.10141468695535	3.77898846852958	1.98453972984932	2.43722295256748	2.07066354579115	2.33969113159598	1.73969467755585	1.1718763773171	1.49863584885396	2.25223608599408	1.08615716648079	4.0976251382588	1.17410380933496	2.01868479871645	4.62992072744968
ENSG00000175061.9	rest	ENSG00000175061	1	1	1.29079292096806	1.07052094066809	1.8099999309211	3.17755642670358	2.10904841473125	1.1675432037714	1.1566223480964	1.82438082359891	1.97747446748224	3.89098574696308	1.03524165979307	2.04987243676641	5.12856434672237
ENSG00000182165.12	rest	ENSG00000182165	7.2880264016969	3.96216403352449	1.99752016846484	2.45041538110897	1.99039595012808	2.34904804113761	1.75504079384912	1.17265962697122	1.49160231722614	2.25458103145309	1.07453426734586	4.10021184469236	1.16727731613165	2.02234095131904	4.63072581650323
ENSG00000188338.8	rest	ENSG00000188338	6.97498875430108	2.98499005101724	2.24345476034913	2.55575081583806	2.00610043912294	2.24945773551697	1.71008172886735	1.30342695716646	1.56179262416267	2.21723658520526	1.0254551209685	4.11634317224344	1.18695414526511	2.02117204353734	4.62281434362636
ENSG00000189223.6	rest	ENSG00000189223	7.29584541618917	4.01528080808929	1.86913240260745	2.4451427911374	1.95339081634007	2.35497556822174	1.72245929717827	1.17552121202591	1.5106187891256	2.25487191315717	1.08899387853465	4.09588730257909	1.17219096861954	2.01869631131924	4.62993197797187
ENSG00000196756.5	rest	ENSG00000196756	6.03124007064807	3.61771624323004	1.10208618344087	3.12231325682086	1.74049139347057	2.25701711777318	1.96704528649858	1	1.62661905646905	2.33059835089117	1	4.0578712187711	1.28562177344992	1.96054231989358	4.64336894327643
ENSG00000203875.4	true	ENSG00000203875	7.1164311785962	3.99688293134939	1.8962729990753	2.51910508378227	2.011642199666	2.33805634062635	1.78427768050932	1.15388637627232	1.4996479959674	2.24528047833507	1.08945617529819	4.09523180074549	1.16790321995167	2.02027255334238	4.62955285272763
ENSG00000204272.5	rest	ENSG00000204272	7.2313234374002	3.99874179185877	2.00415498398239	2.39660829629075	1.97222545547621	2.35796372163034	1.7606926981582	1.14835296311829	1.48142051030905	2.24215149458091	1.08076212005387	4.09341577217093	1.17333476328178	2.01703379325023	4.62901728604377
ENSG00000205663.4	rest	ENSG00000205663	6.71005623522605	3.97446285056803	1.80617484740682	2.42889215887602	1.96508616173858	2.48115536108621	1.78083498253674	1.2109677550811	1.34487206230583	2.28015841538363	1.0997267532701	4.11499779505547	1.20300173861902	2.02486678563327	4.66910848755805
ENSG00000212978.4	rest	ENSG00000212978	7.30400127829918	3.98071049351084	2.01802156703474	2.47760450270844	2.00601071028531	2.34295747946634	1.75693198190079	1.147789513908	1.50952646514524	2.2601352229754	1.08249616283916	4.08985615255621	1.1741147972013	2.02047070686922	4.63211973843204
ENSG00000214719.4	rest	ENSG00000214719	6.83897931319087	3.72807179983955	2.21005260965281	2.37108948463013	2.010878045124	2.38291993957485	1.73400913946942	1.21528128162236	1.46925628573075	2.20763156626203	1.11576041879077	4.09422934459983	1.17004765652439	2.04015105387299	4.64655435119019
ENSG00000215417.4	true	ENSG00000215417	7.07937537048758	4.0271134309243	1.75490397032302	2.66831374806472	1.98835243709201	2.3202868805042	1.81624135781495	1.11813129721992	1.54558446839588	2.28791408389318	1.04433070382775	4.09242190776055	1.19691920537063	1.99628449070952	4.62344516772902
ENSG00000215447.3	rest	ENSG00000215447	7.14778783528161	3.93440753621574	2.00251278301448	2.39386484594231	1.95744519659192	2.29410752905881	1.78469747340621	1.17858785182417	1.50336185891427	2.26062107843975	1.08817869331116	4.09526967456739	1.17251723427	2.01996940792117	4.62976735526345
