gene_id	withinSubset	lncRnaName	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6	Comp.7	Comp.8	Comp.9	Comp.10	Comp.11	Comp.12	Comp.13	Comp.14	Comp.15
ENSG00000004142.6	rest	ENSG00000004142	39.0782923806922	5.22865688592753	15.772952177736	12.6656900663596	2.56931373164947	1.85456647296836	2.95652340393396	9.55922510518405	6.54483246203345	1.41854292958398	3.34441192320666	4.82081364526089	1.85036697530792	2.36896087927557	1.12441684011554
ENSG00000006534.11	rest	ENSG00000006534	40.6791829759881	4.85815058890087	15.6216562164438	12.6845226779614	2.45252061823375	2.06493226517185	3.05238155432718	9.59883020584406	6.54459962605697	1.45135085265292	3.3407946268912	4.68906649486268	1.90491921622138	2.37315516520075	1.15412933315312
ENSG00000085365.12	rest	ENSG00000085365	39.7888010165123	4.36030322475685	15.4155306691434	12.4675161490883	2.49230640728889	2.14495626593947	3.07913077227807	9.57378374886009	6.5351023045005	1.47584591846961	3.3014593403745	4.62401504309257	1.91471077173692	2.37510585147678	1.14615228105642
ENSG00000088970.10	rest	ENSG00000088970	40.6228442893125	4.77284519583892	15.5979445321224	12.6773696769063	2.42519938167309	2.05351597027344	3.09084548336036	9.6510436652607	6.54606558958183	1.45964662980576	3.33711467953225	4.64809629893583	1.91127698284598	2.36797921302594	1.14759390833278
ENSG00000100181.14	true	ENSG00000100181	40.759700122449	4.78755507456268	15.4780562207321	12.5093811296838	2.28087203529553	2.09093957483737	3.0535735288252	9.66343688321182	6.55744607788537	1.44830331253004	3.34357213750175	4.66084933001503	1.89813948441122	2.36534345966786	1.14631809657764
ENSG00000104691.10	rest	ENSG00000104691	40.7392971905577	4.77752911062026	15.5672703111076	12.6504144459668	2.44127785178219	2.07818341640715	3.07151454332077	9.65098091685631	6.5557585531379	1.46237526577488	3.33715842064219	4.66128785158303	1.90384582637848	2.36896429172753	1.14854356998483
ENSG00000126749.7	rest	ENSG00000126749	40.5563764580283	4.8235457240419	15.5228668278332	12.6486775421983	2.47212752198073	2.07638367935271	3.02788862223964	9.62531175132735	6.5041305096108	1.48790541965136	3.3755341720783	4.64815125692702	1.89791832650461	2.38284190906168	1.13489802906138
ENSG00000130600.9	true	ENSG00000130600	40.2609253218853	5.02581359997479	15.5906067362949	12.0543058743331	2.75113387980077	1.55355749833702	2.41335519161494	9.18558292473912	6.10228005795683	1.96561289635466	3.44483266307756	11.3131062815974	1	3.77967148211633	7.94368962171921
ENSG00000131401.6	rest	ENSG00000131401	40.7731721508516	4.78908526163877	15.4070385128635	12.7325511272295	2.50511196761171	2.09247261986624	3.07404609301303	9.65461728874659	6.57076772194314	1.45425971090722	3.37057333072386	4.65572575380162	1.9036998617523	2.36819669502215	1.14775079709804
ENSG00000137700.10	rest	ENSG00000137700	40.1010596430802	4.88289686491476	15.6098390382921	12.6680585238534	2.4335513128888	1.91024580629652	3.04474320745969	9.71143847492331	6.63136103355744	1.47436231064288	3.34602637121258	4.62035585788594	1.92456234267448	2.3960967727926	1.14649547737632
ENSG00000142396.4	rest	ENSG00000142396	40.4554946702584	4.86604116370183	15.5704811625009	12.6482122749466	2.44720011633619	2.15975996109062	3.04245721141194	9.63809393336044	6.55955531904608	1.44529227769202	3.33964086319601	4.64812518772591	1.90517076984633	2.37418654772206	1.14998786913137
ENSG00000147676.9	rest	ENSG00000147676	39.043166402368	4.91878974394565	16.0601167707406	13.0037721721232	2.33288599553329	2.1359451987244	3.1905987144326	9.74357086341711	6.57378873919407	1.44767607078885	3.33930990802166	4.5884888752932	1.88013461784908	2.36241251638581	1.15271128467781
ENSG00000150316.7	rest	ENSG00000150316	40.7000439075515	4.77640819278002	15.5187732402522	12.6157634305868	2.42280141255058	2.08559219023326	3.07426384830641	9.6419871223034	6.54325259609471	1.46851980191483	3.34471547347532	4.64799328854649	1.89990750763761	2.36846283785989	1.14708297829448
ENSG00000162290.10	rest	ENSG00000162290	40.0252007240598	4.72403620825838	15.5686201392617	12.5580365142945	2.54148286674745	2.18925839161189	3.09744298420041	9.61596398364466	6.53830315418924	1.45457488432885	3.32196667934258	4.63254227158044	1.90870524886264	2.35898071846937	1.13834040416874
ENSG00000170846.10	rest	ENSG00000170846	40.7384527108946	4.76465265958659	15.5484788272063	12.6169131613712	2.40159598035488	2.09428851866307	3.05924316641697	9.65332954397254	6.56066686916832	1.46532024182207	3.34011125332654	4.65461785165272	1.90749001057781	2.37384261731844	1.14682774398485
ENSG00000172965.6	rest	ENSG00000172965	40.1404828188279	4.9775232207956	15.6030082682705	12.373039099661	2.53518926430393	2.08831966506407	3.0073245603953	9.6386981667875	6.52193360976438	1.47070309645904	3.35781674291297	4.68979863608597	1.86522049522173	2.37936074035198	1.16845686151652
