pulldown	celltype	p0	p0_1	p0_25	p0_5	p0_8	p0_9	p0_95	p0_99
longPolyA	A549	54	49	42	33	29	26	25	10
longNonPolyA	A549	44	21	19	16	10	6	4	3
longPolyA	AG04450	52	37	34	33	27	25	24	12
longNonPolyA	AG04450	38	21	19	16	9	7	5	2
longPolyA	BJ	63	52	49	44	33	30	26	16
longNonPolyA	BJ	33	19	16	11	5	2	2	2
longPolyA	GM12878	51	39	34	28	23	22	21	13
longNonPolyA	GM12878	49	26	24	24	18	14	12	4
longPolyA	H1_HESC	50	43	39	33	29	23	20	13
longNonPolyA	H1_HESC	53	41	32	27	24	17	15	8
longPolyA	HELA_S3	51	40	38	33	24	16	11	8
longNonPolyA	HELA_S3	58	35	31	23	13	8	7	2
longPolyA	HEPG2	51	40	33	28	23	21	19	12
longNonPolyA	HEPG2	59	33	29	19	13	8	6	2
longPolyA	HSMM	67	46	41	37	29	25	23	12
longNonPolyA	HSMM	22	11	8	6	2	2	1	1
longPolyA	HUVEC	56	44	40	34	28	22	21	15
longNonPolyA	HUVEC	49	30	22	15	10	8	7	4
longPolyA	K562	52	42	39	33	27	23	21	15
longNonPolyA	K562	43	31	25	22	21	19	18	11
longPolyA	MCF7	55	43	40	34	29	24	20	14
longNonPolyA	MCF7	41	19	16	10	7	3	2	2
longPolyA	NHLF	57	48	45	38	32	31	25	9
longNonPolyA	NHLF	20	10	6	2	0	0	0	0
longPolyA	SK_N_SH_RA	53	46	41	38	32	28	25	17
longNonPolyA	SK_N_SH_RA	0	0	0	0	0	0	0	0
