HGNC_ID	Approved_Symbol	Approved_Name
HGNC:43841	ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)
HGNC:34515	AIRN	antisense of IGF2R non-protein coding RNA
HGNC:10561	ATXN8OS	ATXN8 opposite strand (non-protein coding)
HGNC:37125	BACE1-AS	BACE1 antisense RNA
HGNC:43877	BANCR	BRAF-activated non-protein coding RNA
HGNC:1022	BCYRN1	brain cytoplasmic RNA 1
HGNC:20608	BDNF-AS	BDNF antisense RNA
HGNC:35125	BOK-AS1	BOK antisense RNA 1
HGNC:45128	CCAT1	colon cancer associated transcript 1 (non-protein coding)
HGNC:34341	CDKN2B-AS1	CDKN2B antisense RNA 1
HGNC:43715	CYP4A22-AS1	CYP4A22 antisense RNA 1
HGNC:28964	DANCR	differentiation antagonizing non-protein coding RNA
HGNC:20348	DIO3OS	DIO3 opposite strand/antisense RNA (head to head)
HGNC:2889	DISC2	disrupted in schizophrenia 2 (non-protein coding)
HGNC:37132	DLG2-AS1	DLG2 antisense RNA 1
HGNC:37151	DLX6-AS1	DLX6 antisense RNA 1
HGNC:37129	EGOT	eosinophil granule ontogeny transcript (non-protein coding)
HGNC:18511	EMX2OS	EMX2 opposite strand/antisense RNA
HGNC:37128	FAS-AS1	FAS antisense RNA 1
HGNC:43894	FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA
HGNC:37190	FTX	FTX transcript, XIST regulator (non-protein coding)
HGNC:48336	GACAT1	gastric cancer associated transcript 1 (non-protein coding)
HGNC:16355	GAS5	growth arrest-specific 5 (non-protein coding)
HGNC:24872	GNAS-AS1	GNAS antisense RNA 1
HGNC:4713	H19	H19, imprinted maternally expressed transcript (non-protein coding)
HGNC:33117	HAR1A	highly accelerated region 1A (non-protein coding)
HGNC:33118	HAR1B	highly accelerated region 1B (non-protein coding)
HGNC:45049	HEIH	hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA
HGNC:43984	HELLPAR	HELLP associated long non-coding RNA
HGNC:33510	HOTAIR	HOX transcript antisense RNA
HGNC:37117	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1
HGNC:37461	HOTTIP	HOXA distal transcript antisense RNA
HGNC:43745	HOXA-AS2	HOXA cluster antisense RNA 2
HGNC:43748	HOXA-AS3	HOXA cluster antisense RNA 3
HGNC:24957	HOXA11-AS	HOXA11 antisense RNA
HGNC:34232	HULC	hepatocellular carcinoma up-regulated long non-coding RNA
HGNC:43910	IFNG-AS1	IFNG antisense RNA 1
HGNC:14062	IGF2-AS	IGF2 antisense RNA
HGNC:6109	IPW	imprinted in Prader-Willi syndrome (non-protein coding)
HGNC:37191	JPX	JPX transcript, XIST activator (non-protein coding)
HGNC:29895	KCNIP4-IT1	KCNIP4 intronic transcript 1 (non-protein coding)
HGNC:6295	KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
HGNC:43714	KDM5B-AS1	KDM5B antisense RNA 1 (head to head)
HGNC:43773	LINC-ROR	long intergenic non-protein coding RNA, regulator of reprogramming
HGNC:43713	LINC00568	long intergenic non-protein coding RNA 568
HGNC:43717	LINC00570	long intergenic non-protein coding RNA 570
HGNC:43840	LINC00581	long intergenic non-protein coding RNA 581
HGNC:27231	LINC00599	long intergenic non-protein coding RNA 599
HGNC:44088	LINC00617	long intergenic non-protein coding RNA 617
HGNC:44307	LINC00651	long intergenic non-protein coding RNA 651
HGNC:43716	LINC00853	long intergenic non-protein coding RNA 853
HGNC:37824	LSINCT5	long stress-induced non-coding transcript 5
HGNC:48498	LUCAT1	lung cancer associated transcript 1 (non-protein coding)
HGNC:29665	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
HGNC:14575	MEG3	maternally expressed 3 (non-protein coding)
HGNC:14574	MEG8	maternally expressed 8 (non-protein coding)
HGNC:43874	MEG9	maternally expressed 9 (non-protein coding)
HGNC:33425	MIAT	myocardial infarction associated transcript (non-protein coding)
HGNC:42408	NAMA	non-protein coding RNA, associated with MAP kinase pathway and growth arrest
HGNC:37153	NCRUPAR	non-protein coding RNA, upstream of F2R/PAR1
HGNC:30815	NEAT1	nuclear paraspeckle assembly transcript 1 (non-protein coding)
HGNC:37079	NRON	non-protein coding RNA, repressor of NFAT
HGNC:43563	OIP5-AS1	OIP5 antisense RNA 1
HGNC:43906	OTX2-AS1	OTX2 antisense RNA 1 (head to head)
HGNC:44048	PANDAR	promoter of CDKN1A antisense DNA damage activated RNA
HGNC:43022	PCAT1	prostate cancer associated transcript 1 (non-protein coding)
HGNC:30145	PCGEM1	PCGEM1, prostate-specific transcript (non-protein coding)
HGNC:34235	PRINS	psoriasis associated non-protein coding RNA induced by stress
HGNC:37127	PTCSC1	papillary thyroid carcinoma susceptibility candidate 1 (non-protein coding)
HGNC:43959	PTCSC3	papillary thyroid carcinoma susceptibility candidate 3 (non-protein coding)
HGNC:9589	PTENP1	phosphatase and tensin homolog pseudogene 1
HGNC:40511	RPS6KA2-AS1	RPS6KA2 antisense RNA 1
HGNC:43718	SCAANT1	SCA7/ATXN7 antisense RNA 1
HGNC:32688	SNHG1	small nucleolar RNA host gene 1 (non-protein coding)
HGNC:10118	SNHG3	small nucleolar RNA host gene 3 (non-protein coding)
HGNC:32964	SNHG4	small nucleolar RNA host gene 4 (non-protein coding)
HGNC:21026	SNHG5	small nucleolar RNA host gene 5 (non-protein coding)
HGNC:32965	SNHG6	small nucleolar RNA host gene 6 (non-protein coding)
HGNC:44352	SNHG16	small nucleolar RNA host gene 16 (non-protein coding)
HGNC:20209	SOX2-OT	SOX2 overlapping transcript (non-protein coding)
HGNC:42394	SPRY4-IT1	SPRY4 intronic transcript 1 (non-protein coding)
HGNC:14607	TINCR	tissue differentiation-inducing non-protein coding RNA
HGNC:43839	TMEM161B-AS1	TMEM161B antisense RNA 1
HGNC:12377	TSIX	TSIX transcript, XIST antisense RNA
HGNC:26066	TUG1	taurine upregulated 1 (non-protein coding)
HGNC:27701	TUSC7	tumor suppressor candidate 7 (non-protein coding)
HGNC:37126	UCA1	urothelial cancer associated 1 (non-protein coding)
HGNC:18135	WT1-AS	WT1 antisense RNA
HGNC:45056	XACT	X active specific transcript (non-protein coding)
HGNC:12810	XIST	X inactive specific transcript (non-protein coding)
HGNC:37149	ZEB2-AS1	ZEB2 antisense RNA 1
HGNC:33101	ZFAS1	ZNFX1 antisense RNA 1
