LncRNA_GeneId	LncRNA_Txid	Hg19_coordinates	No_Exons	LncRNA_tx_size	LncRNA_IntronS_size	category	GeneId_Cod.Pot	Genc_polyA	DiTAG5p3p,DiTAG5p,DiTAG3p
ENSG00000243485.1	ENST00000473358.1	chr1:29554-31097	3	712	830	intergenic	2.92	0	0,0,0
ENSG00000243485.1	ENST00000469289.1	chr1:30267-31109	2	535	307	intergenic	2.92	0	0,0,0
ENSG00000238009.2	ENST00000466430.1	chr1:89295-120932	4	2748	28887	intergenic	5.26	0	0,0,0
ENSG00000239945.1	ENST00000495576.1	chr1:89551-91105	2	1319	235	intergenic	3.27	0	0,0,0
ENSG00000238009.2	ENST00000477740.1	chr1:92230-129217	4	491	36494	intergenic	-0.11	0	0,0,0
ENSG00000238009.2	ENST00000471248.1	chr1:110953-129173	3	629	17590	intergenic	0.83	0	0,0,0
ENSG00000238009.2	ENST00000453576.2	chr1:129081-133566	2	336	4149	intergenic	0	0	0,0,0
ENSG00000239906.1	ENST00000493797.1	chr1:139790-140339	2	323	226	intergenic	-2.78	0	0,0,0
ENSG00000241860.1	ENST00000484859.1	chr1:141474-149707	2	4860	3373	intergenic	-1.11	1	0,0,0
ENSG00000241860.1	ENST00000490997.1	chr1:142808-146831	3	518	3504	intergenic	-1.84	0	0,0,0
ENSG00000241599.1	ENST00000496488.1	chr1:160446-161525	2	457	622	intergenic	3.21	0	0,0,0
ENSG00000239368.1	ENST00000466557.1	chr1:164405-173864	6	972	8483	intergenic	-0.95	0	0,0,0
ENSG00000239368.1	ENST00000491962.1	chr1:165889-168767	3	278	2599	intergenic	-1.67	0	0,0,0
ENSG00000228463.3	ENST00000442116.1	chr1:227615-234484	2	1292	5577	intergenic	26.03	0	0,0,0
ENSG00000228463.3	ENST00000448958.1	chr1:227895-238558	3	1925	8737	intergenic	26.03	0	0,0,1
ENSG00000228463.3	ENST00000424587.1	chr1:235856-267253	4	2513	28882	intergenic	5.26	0	0,0,0
ENSG00000228463.3	ENST00000335577.4	chr1:257268-259121	2	510	1343	intergenic	-8.12	0	0,0,0
ENSG00000240876.1	ENST00000426316.1	chr1:317811-328455	2	468	10176	encompassing	-1.84	0	0,0,1
ENSG00000237094.3	ENST00000432964.1	chr1:320162-321056	3	575	318	intergenic	-1.33	0	0,0,0
ENSG00000237094.3	ENST00000423728.1	chr1:320162-324461	3	573	3725	intergenic	-1.33	0	0,0,0
ENSG00000237094.3	ENST00000440038.1	chr1:322037-324743	3	555	2150	intergenic	0	0	0,0,0
ENSG00000237094.3	ENST00000419160.1	chr1:322732-324955	2	547	1676	intergenic	-7.12	0	0,0,0
ENSG00000237094.3	ENST00000534867.1	chr1:324438-325896	3	1170	287	intergenic	4.11	0	0,0,0
ENSG00000237094.3	ENST00000456623.1	chr1:324515-326852	2	1158	1179	exonic	6.20	0	0,0,0
ENSG00000237094.3	ENST00000425496.2	chr1:324756-328453	2	2661	1036	encompassing	6.20	0	1,1,1
ENSG00000236601.1	ENST00000450983.1	chr1:453633-460480	2	607	6240	intergenic	3.91	0	0,0,0
ENSG00000236601.1	ENST00000412666.1	chr1:453827-460465	2	426	6212	intergenic	10.08	1	0,0,0
ENSG00000236743.1	ENST00000441866.1	chr1:459656-461954	3	676	1621	intergenic	6.79	0	0,1,0
ENSG00000231709.1	ENST00000417636.1	chr1:521369-523833	3	842	1621	intergenic	6.79	0	0,1,0
ENSG00000235146.2	ENST00000423796.1	chr1:523009-530148	2	607	6532	intergenic	3.66	0	0,0,0
ENSG00000235146.2	ENST00000450696.1	chr1:523048-529954	2	402	6504	intergenic	9.43	1	0,0,0
ENSG00000239664.1	ENST00000440196.1	chr1:529833-530595	2	437	325	intergenic	0	0	0,1,0
ENSG00000239664.1	ENST00000357876.4	chr1:529839-532878	2	498	2541	intergenic	-9.86	0	0,1,0
ENSG00000230021.1	ENST00000440200.1	chr1:536816-655580	3	413	118350	encompassing	3.43	0	0,0,0
ENSG00000223659.1	ENST00000452176.1	chr1:562757-564390	3	802	830	intergenic	1.75	1	0,0,0
ENSG00000230021.1	ENST00000441245.1	chr1:637316-655530	3	629	17584	intergenic	0.83	0	0,0,1
ENSG00000230021.1	ENST00000419394.1	chr1:639065-655574	3	480	16028	intergenic	-0.05	0	0,0,0
ENSG00000230021.1	ENST00000448605.1	chr1:639065-655580	2	274	16241	intergenic	0.88	0	0,0,0
ENSG00000230021.1	ENST00000414688.1	chr1:646722-655580	2	750	8108	intergenic	-0.05	0	0,0,1
ENSG00000230021.1	ENST00000447954.1	chr1:655438-659930	2	336	4156	intergenic	0	0	0,0,0
ENSG00000235373.1	ENST00000416385.1	chr1:677193-685396	2	4860	3343	intergenic	-1.11	0	0,0,0
ENSG00000240618.1	ENST00000417659.1	chr1:694412-700305	2	295	5598	intergenic	-3.61	0	0,0,0
ENSG00000229905.1	ENST00000422528.1	chr1:696291-697369	2	456	622	intergenic	1.30	0	0,0,1
ENSG00000228327.2	ENST00000428504.1	chr1:700237-714006	7	1317	12447	intergenic	-1.29	0	0,1,0
ENSG00000237491.2	ENST00000457084.1	chr1:714162-717571	2	566	2843	intergenic	0.38	0	0,1,0
ENSG00000237491.2	ENST00000429505.1	chr1:714436-740255	3	441	25377	encompassing	-0.53	0	0,0,0
ENSG00000242937.1	ENST00000434264.1	chr1:717325-720070	2	513	2232	intergenic	-1.13	0	0,0,0
ENSG00000230092.2	ENST00000447500.1	chr1:736259-745541	4	523	8757	intergenic	0.44	0	0,0,1
ENSG00000241768.1	ENST00000443772.1	chr1:740179-742845	2	417	2249	intergenic	0	0	0,1,0
ENSG00000241768.1	ENST00000412115.1	chr1:740312-745440	3	581	4546	intergenic	-0.77	0	0,0,1
ENSG00000240453.1	ENST00000435300.1	chr1:745489-753092	2	402	7201	intergenic	-0.96	0	0,0,1
ENSG00000177757.1	ENST00000326734.1	chr1:752751-755214	2	1944	519	intergenic	2.62	0	0,0,1
ENSG00000225880.4	ENST00000473798.1	chr1:761586-762902	1	1317	0	intergenic	7.25	1	1,1,1
ENSG00000225880.4	ENST00000536430.1	chr1:761589-762886	1	1298	0	intergenic	7.25	1	1,1,1
ENSG00000228794.1	ENST00000445118.1	chr1:762988-789791	5	1571	25229	intergenic	1.59	1	1,1,1
ENSG00000228794.1	ENST00000441765.1	chr1:763047-777118	3	750	13320	intergenic	9.31	0	0,1,0
ENSG00000228794.1	ENST00000449005.1	chr1:763053-789006	6	874	25075	intergenic	1.59	0	0,1,0
ENSG00000228794.1	ENST00000416570.1	chr1:763079-788146	5	612	24452	intergenic	1.59	0	0,1,0
ENSG00000228794.1	ENST00000415295.1	chr1:766985-777400	2	894	9521	intergenic	9.31	0	0,1,1
ENSG00000228794.1	ENST00000448975.1	chr1:783054-788838	5	600	5181	intergenic	1.59	0	0,1,0
ENSG00000228794.1	ENST00000425657.1	chr1:786728-788132	2	845	559	intergenic	1.59	0	0,0,0
ENSG00000230368.2	ENST00000446136.1	chr1:803451-812283	3	1807	7024	intergenic	7.81	1	0,0,1
ENSG00000230368.2	ENST00000432963.1	chr1:803620-805581	4	504	1455	intergenic	0.76	0	0,0,0
ENSG00000230368.2	ENST00000427857.1	chr1:803783-812182	3	446	7952	intergenic	-0.37	0	0,0,0
ENSG00000230699.2	ENST00000448179.1	chr1:846815-850328	2	3043	470	intergenic	14.73	0	0,1,0
ENSG00000241180.1	ENST00000398216.2	chr1:849551-850351	2	443	357	intergenic	-4.98	0	0,1,0
ENSG00000224969.1	ENST00000458555.1	chr1:947377-948573	2	471	725	intergenic	0	0	0,0,0
ENSG00000223823.1	ENST00000416774.1	chr1:1072397-1079436	3	1620	5418	intergenic	10.87	1	0,1,0
ENSG00000205231.1	ENST00000379317.1	chr1:1108436-1114935	2	3532	2967	exonic	7.89	0	0,0,0
ENSG00000240731.1	ENST00000444968.1	chr1:1252961-1254069	2	386	722	intronic	0	0	0,1,0
ENSG00000224870.2	ENST00000448629.2	chr1:1334902-1336467	3	797	767	intergenic	6.29	0	1,1,1
ENSG00000224870.2	ENST00000447725.1	chr1:1334902-1336805	3	1135	767	intergenic	7.53	0	1,1,1
ENSG00000224870.2	ENST00000444362.1	chr1:1334907-1337426	3	1747	771	exonic	8.40	1	1,1,1
ENSG00000224870.2	ENST00000418833.1	chr1:1334910-1336359	2	1149	300	intergenic	5.19	0	0,1,1
ENSG00000239298.1	ENST00000453521.1	chr1:1335799-1337426	2	858	769	exonic	-5.79	1	0,1,1
ENSG00000225905.1	ENST00000428932.1	chr1:1355625-1358071	2	543	1903	exonic	0	0	0,1,0
ENSG00000230270.1	ENST00000439191.1	chr1:1360832-1363179	2	443	1904	intergenic	4.49	0	0,0,0
ENSG00000205116.2	ENST00000378821.2	chr1:1361556-1363005	2	282	1167	intergenic	0	0	0,1,1
ENSG00000203586.2	ENST00000366395.2	chr1:1363502-1365634	2	1209	923	intergenic	-4.96	0	0,1,1
ENSG00000236239.1	ENST00000428781.1	chr1:1363502-1365635	2	1210	923	intergenic	5.26	1	0,1,1
ENSG00000225285.1	ENST00000430109.1	chr1:1365919-1369953	2	510	3524	intergenic	11.49	0	0,1,1
ENSG00000225285.1	ENST00000434150.1	chr1:1365930-1367223	2	444	849	intergenic	6.35	0	0,1,1
ENSG00000225285.1	ENST00000454562.1	chr1:1365930-1369868	2	424	3514	intergenic	0	0	0,1,1
ENSG00000225285.1	ENST00000417917.1	chr1:1366044-1369900	2	634	3222	intergenic	14.09	0	0,1,1
ENSG00000245123.1	ENST00000502203.1	chr1:1535819-1545864	4	2219	7824	intergenic	2.36	0	0,0,1
ENSG00000227775.1	ENST00000417099.1	chr1:1656054-1663343	2	1808	5481	intronic	-3.38	0	0,0,0
ENSG00000244250.1	ENST00000424604.1	chr1:1663993-1667414	2	450	2971	intronic	4.67	0	0,0,0
ENSG00000231050.1	ENST00000412228.1	chr1:1822910-1824097	2	906	281	intergenic	-5.60	0	1,1,1
ENSG00000233542.1	ENST00000443930.1	chr1:1944652-1946969	2	1954	363	intergenic	7.35	0	0,1,0
ENSG00000226969.1	ENST00000445600.1	chr1:1980642-1981090	2	320	128	intergenic	3.34	0	0,0,1
ENSG00000226969.1	ENST00000449154.1	chr1:1980743-1981509	3	437	328	intergenic	3.34	0	0,1,1
ENSG00000182873.4	ENST00000333854.2	chr1:2113233-2115314	2	1253	828	intronic	1.46	0	0,0,1
ENSG00000182873.4	ENST00000536678.1	chr1:2113233-2115492	1	2260	0	intronic	2.06	0	0,1,1
ENSG00000182873.4	ENST00000444529.1	chr1:2114174-2115828	3	622	1031	intronic	-1.87	0	0,1,0
ENSG00000229813.1	ENST00000420406.1	chr1:2357419-2362089	2	371	4299	intergenic	5.16	0	0,0,0
ENSG00000224387.1	ENST00000424657.1	chr1:2423739-2424697	2	455	503	intronic	11.98	1	0,1,0
ENSG00000229393.1	ENST00000442305.1	chr1:2424876-2425918	2	514	528	intronic	-1.30	0	0,1,0
ENSG00000238164.2	ENST00000449660.1	chr1:2481359-2483545	3	1629	556	intergenic	6.56	1	0,0,1
ENSG00000238164.2	ENST00000443892.2	chr1:2481359-2485684	2	500	3825	intergenic	1.11	1	0,0,1
ENSG00000238164.2	ENST00000416860.2	chr1:2481359-2488450	6	3522	3565	exonic	5.75	1	1,1,1
ENSG00000238164.2	ENST00000448624.2	chr1:2481513-2483037	2	808	716	intergenic	6.56	0	0,1,0
ENSG00000238164.2	ENST00000432521.2	chr1:2481722-2485589	2	3608	259	intergenic	6.56	1	0,1,1
ENSG00000238164.2	ENST00000452793.1	chr1:2485680-2488470	4	569	2219	exonic	8.92	0	0,1,1
ENSG00000225931.2	ENST00000456687.2	chr1:2497849-2508811	4	1497	9463	intergenic	4.71	1	0,0,1
ENSG00000228037.1	ENST00000424215.1	chr1:2512999-2515972	3	626	2346	intergenic	6.01	1	0,0,1
ENSG00000237058.1	ENST00000427302.1	chr1:2564007-2568059	2	373	3679	exonic	-2.59	1	0,0,0
ENSG00000233234.1	ENST00000457440.1	chr1:2728415-2729257	2	607	235	intergenic	4.80	0	0,0,1
ENSG00000231630.1	ENST00000429389.1	chr1:2730997-2731563	2	429	137	intergenic	4.95	1	0,0,0
ENSG00000177133.5	ENST00000321399.3	chr1:2976179-2980350	6	2226	1941	intergenic	2.54	1	0,1,1
ENSG00000177133.5	ENST00000413472.1	chr1:2976181-2978315	4	561	1571	intergenic	3.19	1	0,0,1
