gene_id	HSMM.longNonPolyA	BJ.longNonPolyA	NHEK.longNonPolyA	HSMM.longPolyA	MCF.7.longNonPolyA	HUVEC.longNonPolyA	K562.longNonPolyA	BJ.longPolyA	AG04450.longNonPolyA	NHEK.longPolyA	HUVEC.longPolyA	MCF.7.longPolyA	HMEC.longNonPolyA	K562.longPolyA	AG04450.longPolyA	HMEC.longPolyA	NHEK.longNonPolyA.1	HEPG2.longNonPolyA	NHEK.longPolyA.1	HEPG2.longPolyA	SK.N.SH_RA.longNonPolyA	A549.longNonPolyA	SK.N.SH_RA.longPolyA	H1.HESC.longNonPolyA	A549.longPolyA	NHLF.longNonPolyA	H1.HESC.longPolyA	GM12878.longNonPolyA	HELA.S3.longNonPolyA	NHLF.longPolyA	HELA.S3.longPolyA	GM12878.longPolyA	entropyExpr	sumExpr	varianceExpr	averageExpr	minExpr	maxExpr	maxExprType	threeTimesRest	nTimesRest	tissSpec	HSMM.longNonPolyA.ExprLabel	BJ.longNonPolyA.ExprLabel	NHEK.longNonPolyA.ExprLabel	HSMM.longPolyA.ExprLabel	MCF.7.longNonPolyA.ExprLabel	HUVEC.longNonPolyA.ExprLabel	K562.longNonPolyA.ExprLabel	BJ.longPolyA.ExprLabel	AG04450.longNonPolyA.ExprLabel	NHEK.longPolyA.ExprLabel	HUVEC.longPolyA.ExprLabel	MCF.7.longPolyA.ExprLabel	HMEC.longNonPolyA.ExprLabel	K562.longPolyA.ExprLabel	AG04450.longPolyA.ExprLabel	HMEC.longPolyA.ExprLabel	NHEK.longNonPolyA.1.ExprLabel	HEPG2.longNonPolyA.ExprLabel	NHEK.longPolyA.1.ExprLabel	HEPG2.longPolyA.ExprLabel	SK.N.SH_RA.longNonPolyA.ExprLabel	A549.longNonPolyA.ExprLabel	SK.N.SH_RA.longPolyA.ExprLabel	H1.HESC.longNonPolyA.ExprLabel	A549.longPolyA.ExprLabel	NHLF.longNonPolyA.ExprLabel	H1.HESC.longPolyA.ExprLabel	GM12878.longNonPolyA.ExprLabel	HELA.S3.longNonPolyA.ExprLabel	NHLF.longPolyA.ExprLabel	HELA.S3.longPolyA.ExprLabel	GM12878.longPolyA.ExprLabel	expressed	transcriptType	geneType	gene_id_short	external_gene_id	withinSubset	gene_biotype	lncRnaName	label
ENSG00000088970.10	0.002326	0.010243	0.00083	0.240727	0.00237	0.006642	0.034956	0.310855	0.011822	0.197062	0.069221	0.035211	0.006336	0.16795	0.17068	0.21309	0.019192	0.136212	0.113917	1.22594	0.004983	0.005155	0.052909	0.104586	0.092615	0.000654	0.157964	0.012433	0.081101	0.227655	0.133398	0.113497	3.80459650680047	3.962532	0.0478858057055968	0.123829125	0.000654	1.22594	HEPG2.longPolyA	HEPG2.longPolyA	3.94376799472423	0.304602094679901	low	mid	low	mid	low	mid	mid	mid	mid	mid	mid	mid	low	mid	mid	mid	mid	high	mid	high	mid	mid	mid	high	mid	low	mid	mid	high	mid	mid	mid	yes	unknown	derrienLncRNA	ENSG00000088970	ENSG00000088970	rest	nonFunctional	ENSG00000088970	0
ENSG00000100181.14	0.003203	0.001126	0.018779	0.03515	0.000533	0.014008	0.258916	0.019423	0	0.236672	0.019946	2.7e-05	0.003836	1.336048	9.3e-05	0.134636	0.086182	0.001043	0.130398	0.00018	1.2e-05	0	0.000556	0.000165	0.00011	0.002804	0.000647	0.001268	0.004721	0.0509	0	0	2.29781791990428	2.361382	0.0574706385975766	0.0737931875	0	1.336048	K562.longPolyA	K562.longPolyA	5.16016005190873	0.48901267153383	mid	low	mid	mid	low	mid	high	low	none	mid	low	low	low	high	low	mid	high	low	mid	low	low	none	low	low	low	low	low	low	low	mid	none	none	yes	unknown	derrienLncRNA	ENSG00000100181	ENSG00000100181	rest	nonFunctional	ENSG00000100181	1
ENSG00000104691.10	0.009493	0.004237	0.001279	0.197857	0.003792	0.016702	0.033245	0.219191	0.006966	0.211066	0.071094	0.049284	0.000605	0.427121	0.101131	0.089912	0.020396	0.044597	0.155484	0.139371	0.004364	0.004443	0.121918	0.030566	0.180888	0.006628	0.040145	0.014662	0.029527	0.227168	0.197161	0.090884	4.1620131297652	2.751177	0.00971086799885383	0.08597428125	0.000605	0.427121	K562.longPolyA	none	1.88019879560501	0.180774290152108	mid	mid	low	mid	low	mid	mid	mid	mid	mid	mid	mid	low	high	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	high	mid	mid	mid	mid	mid	high	mid	yes	unknown	derrienLncRNA	ENSG00000104691	ENSG00000104691	rest	nonFunctional	ENSG00000104691	0
ENSG00000126749.7	0.01117	0.029341	0.030375	0.564675	0.041356	0.030528	0.062181	1.100533	0.09884	1.935922	0.510897	0.290591	0.032698	0.517961	0.318777	0.75205	0.08023	0.135724	0.416663	0.418757	0.018978	0.038215	0.213901	0.093223	0.473131	0.034152	0.661008	0.096518	0.139134	0.971494	1.151528	0.152904	4.13545692777725	11.423455	0.190772637084676	0.35698296875	0.01117	1.935922	NHEK.longPolyA	none	1.6811766626604	0.193192472618711	mid	high	high	high	high	mid	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	mid	high	high	high	high	high	high	high	high	yes	unknown	derrienLncRNA	ENSG00000126749	ENSG00000126749	rest	nonFunctional	ENSG00000126749	0
ENSG00000130600.9	9.770441	0.000695	0.002854	248.538299	0.034356	0.028564	0.31262	0.032157	0.000375	0.077828	0.008123	0.606101	0.001649	2.11969	0.002992	0.004582	0.009721	0.0644	0.088073	0.0091	0.030762	0.040094	0.368001	0.009925	0.182428	0.000793	0.1234	0.000719	0.114948	0.085617	0.044424	0.000579	0.398235437492704	262.71431	1926.29349582767	8.2098221875	0.000375	248.538299	HSMM.longPolyA	HSMM.longPolyA	25.4377769642128	0.834109653609585	high	low	low	high	high	mid	high	mid	low	mid	low	high	low	high	low	low	mid	mid	mid	low	high	high	high	low	high	low	mid	low	high	mid	mid	low	yes	unknown	derrienLncRNA	ENSG00000130600	ENSG00000130600	rest	nonFunctional	ENSG00000130600	1
ENSG00000142396.4	0.011936	0.017179	0.019371	0.987595	0.031837	0.066065	0.082315	0.998668	0.029796	1.260115	0.435009	0.534944	0.020297	0.881281	0.564473	0.843679	0.110898	0.162652	0.627124	0.33754	0.025139	0.050424	0.658281	0.124269	1.096949	0.008877	0.30858	0.073916	0.276084	0.891287	1.378885	0.612295	4.25498467875174	13.52776	0.180238228064774	0.4227425	0.008877	1.378885	HELA.S3.longPolyA	none	1.09425330227797	0.131121193453243	mid	high	high	high	high	high	high	high	high	high	high	high	mid	high	high	high	high	high	high	high	high	high	high	high	high	mid	high	high	high	high	high	high	yes	unknown	derrienLncRNA	ENSG00000142396	ENSG00000142396	rest	nonFunctional	ENSG00000142396	0
ENSG00000170846.10	0.00287	0.003449	0.0016	0.27011	0.012428	0.013263	0.086916	0.170825	0.005977	0.260087	0.130054	0.459826	0.00789	1.0507	0.156013	0.107761	0.011698	0.020981	0.163345	0.170641	0.003587	0.004774	0.114785	0.03908	0.160678	0.002022	0.276868	0.008352	0.030252	0.420223	0.1008	0.064488	3.87260967243096	4.332343	0.0427424322258861	0.13538571875	0.0016	1.0507	K562.longPolyA	none	2.28499475888706	0.253314775943172	mid	mid	low	mid	mid	mid	high	mid	mid	mid	mid	high	mid	high	mid	mid	mid	mid	mid	high	mid	mid	mid	mid	high	low	high	mid	mid	mid	mid	mid	yes	unknown	derrienLncRNA	ENSG00000170846	ENSG00000170846	rest	nonFunctional	ENSG00000170846	0
ENSG00000172965.6	0.098732	0.061048	0.0759	0.572213	0.119092	0.32513	0.226037	1.811593	0.192335	1.644592	6.295786	0.192066	0.036121	0.984972	2.772247	1.326691	0.195804	0.364168	1.235708	1.587063	0.047113	0.083399	0.186904	0.194528	0.444248	0.078848	0.078167	0.044311	0.421056	2.185928	0.36892	0.044893	3.81249102649576	24.295613	1.54160562279628	0.75923790625	0.036121	6.295786	HUVEC.longPolyA	none	2.27100471206209	0.266319434834404	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	mid	mid	high	high	high	mid	yes	unknown	derrienLncRNA	ENSG00000172965	ENSG00000172965	rest	nonFunctional	ENSG00000172965	0
ENSG00000175061.9	0.253456	0.94031	0.313398	7.205593	0.47604	1.420304	2.532488	13.000591	1.257486	9.500962	10.775242	2.310394	0.414121	7.263851	6.522184	5.055433	3.628265	3.155861	9.03354	5.182054	0.437721	1.021725	3.833852	4.323878	5.884465	0.270282	8.08754	1.864538	3.092723	12.96945	5.745345	3.231916	4.48395565893637	141.005008	14.021354036575	4.4064065	0.253456	13.000591	BJ.longPolyA	none	1.00240110413317	0.121379085216499	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	yes	unknown	derrienLncRNA	ENSG00000175061	ENSG00000175061	rest	nonFunctional	ENSG00000175061	0
ENSG00000175772.10	5.9e-05	0.001351	0.003028	0.005118	0.044517	0.023568	0	0.045152	0.001048	0.127742	0.100983	0.904883	0.000209	0	0.007619	0.012879	0.029722	0.030575	0.144461	0.002407	0.000793	0.041076	0.004628	0.012122	0.350475	0.000415	0.019976	0.000797	0.018639	0.018831	0.073831	0.006777	2.90962774598531	2.033681	0.0282226512325796	0.06355253125	0	0.904883	MCF.7.longPolyA	none	2.58187602539411	0.402974989591609	low	low	low	low	high	mid	none	mid	low	mid	mid	high	low	none	low	low	mid	mid	mid	low	low	high	low	mid	high	low	mid	low	mid	low	mid	mid	yes	unknown	derrienLncRNA	ENSG00000175772	ENSG00000175772	rest	nonFunctional	ENSG00000175772	0
